"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","PLAYERUNKNOWN'S BATTLEGROUNDS","20.74%","14:23","12.12%","93:14","25.74‱"
"2","Counter-Strike: Global Offensive","18.25%","10:47","30.91%","281:36","67.21‱"
"3","Rocket League","6.48%","09:45","11.42%","94:37","25.44‱"
"4","Dota 2","5.84%","18:51","26.02%","294:55","54.76‱"
"5","Garry's Mod","5.65%","09:16","25.94%","146:22","58.32‱"
"6","Team Fortress 2","4.7%","09:52","44.26%","130:22","93.14‱"
"7","Tom Clancy's Rainbow Six Siege","4.51%","11:30","4.74%","91:06","10.19‱"
"8","Grand Theft Auto V","4.34%","08:06","10.39%","106:22","22.29‱"
"9","Divinity: Original Sin 2","4%","23:13","1.74%","35:10","3.82‱"
"10","Fallout 4","3.29%","10:31","10.97%","116:38","23.83‱"
"11","Cuphead","3.11%","05:34","1.11%","05:34","2.52‱"
"12","Warframe","2.96%","13:08","14.19%","98:07","38.83‱"
"13","Terraria","2.95%","11:27","18.87%","97:23","41.65‱"
"14","Sid Meier's Civilization V","2.71%","09:26","17.47%","150:38","38.77‱"
"15","The Elder Scrolls V: Skyrim","2.54%","07:55","20.63%","126:41","45.09‱"
"16","The Elder Scrolls V: Skyrim Special Edition","2.31%","07:29","6.72%","32:20","26.57‱"
"17","Unturned","2.25%","05:46","22.3%","30:37","54.57‱"
"18","ARK: Survival Evolved","2.18%","24:00","8.96%","139:27","19.85‱"
"19","H1Z1: King of the Kill","2.13%","11:06","6.01%","80:06","16.78‱"
"20","Rust","2.11%","15:22","9.49%","115:10","21.16‱"
"21","Left 4 Dead 2","2.03%","03:51","22.26%","43:55","53.42‱"
"22","Arma 3","1.95%","11:00","6.23%","185:50","13.62‱"
"23","Wallpaper Engine","1.94%","04:42","2.37%","28:54","5.06‱"
"24","Star Wars: Battlefront 2 (Classic, 2005)","1.89%","01:21","6.67%","11:58","17.5‱"
"25","Stellaris","1.77%","14:38","2.64%","86:25","6.34‱"
"26","Paladins","1.77%","06:12","7.56%","19:22","18.64‱"
"27","Borderlands 2","1.74%","08:47","15.98%","68:00","36.22‱"
"28","Stardew Valley","1.67%","07:51","6.95%","53:24","15.89‱"
"29","Brawlhalla","1.66%","04:54","8.04%","18:11","18.5‱"
"30","Path of Exile","1.61%","15:37","9.7%","68:37","25.93‱"
"31","War Thunder","1.6%","10:25","9.78%","59:52","27.36‱"
"32","Total War: WARHAMMER II","1.55%","21:25","0.55%","21:25","1.25‱"
"33","Fallout: New Vegas","1.52%","06:50","12.54%","60:00","29.91‱"
"34","Dead by Daylight","1.48%","10:27","3.13%","51:18","7.17‱"
"35","PAYDAY 2: Ultimate Edition","1.47%","07:13","14.07%","50:34","37.28‱"
"36","Sid Meiers Civilization VI","1.47%","12:59","3.75%","77:27","8.11‱"
"37","Golf With Your Friends","1.44%","01:27","4.1%","07:40","9.23‱"
"38","The Binding of Isaac: Rebirth","1.43%","05:11","4.08%","106:34","8.98‱"
"39","Fallout: A Post Nuclear Role Playing Game","1.43%","01:30","2.47%","05:02","11.16‱"
"40","7 Days to Die","1.29%","10:14","5.59%","78:35","12.24‱"
"41","Insurgency","1.27%","03:15","6.56%","21:13","16.51‱"
"42","Hearts of Iron IV","1.26%","13:23","1.23%","132:16","2.65‱"
"43","DARK SOULS III","1.21%","08:01","3.81%","84:01","8.47‱"
"44","XCOM 2","1.16%","13:53","3.2%","61:04","7.61‱"
"45","Total War: WARHAMMER","1.14%","07:45","2.53%","79:52","6.11‱"
"46","The Witcher 3: Wild Hunt","1.12%","11:29","5.53%","59:07","13.22‱"
"47","Middle-earth: Shadow of Mordor","1.07%","06:32","6.52%","19:50","17.3‱"
"48","SMITE","1.01%","15:21","6.97%","45:59","18.78‱"
"49","Cities: Skylines","0.98%","08:23","5.86%","39:27","12.96‱"
"50","Mount & Blade: Warband","0.97%","07:27","4.79%","113:11","11.34‱"
