"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","39.75%","14:44","37.37%","384:34","149.5‱"
"2","Dota 2","35.27%","20:56","64.28%","541:25","255.15‱"
"3","Grand Theft Auto V","6.13%","10:31","7.62%","158:12","30.82‱"
"4","PLAYERUNKNOWN'S BATTLEGROUNDS","6.09%","16:31","2.59%","72:23","10.35‱"
"5","Unturned","3.83%","07:19","19.45%","26:22","96.18‱"
"6","Garry's Mod","3.72%","10:35","11.59%","81:56","47.75‱"
"7","Rust","3.27%","12:10","8.33%","142:42","33.52‱"
"8","Counter-Strike","3.21%","11:30","14.4%","279:46","73.8‱"
"9","Paladins","3.2%","05:50","8.55%","18:30","38.68‱"
"10","PAYDAY 2: Ultimate Edition","3.08%","07:07","13.85%","46:40","66.43‱"
"11","Team Fortress 2","2.95%","08:16","26.15%","61:30","103.78‱"
"12","Left 4 Dead 2","2.72%","03:36","14.36%","38:31","63.3‱"
"13","Euro Truck Simulator 2","2.66%","08:53","4.15%","80:00","16.97‱"
"14","Warframe","2.49%","20:13","10.86%","88:24","64.43‱"
"15","Counter-Strike: Source","2.15%","09:36","14.11%","210:07","76.28‱"
"16","Rocket League","1.98%","06:42","3.13%","58:06","12.66‱"
"17","War Thunder","1.89%","07:19","10.22%","50:26","61.76‱"
"18","The Elder Scrolls V: Skyrim","1.7%","08:32","7.12%","101:46","29.9‱"
"19","Terraria","1.67%","08:26","6.54%","62:40","26.68‱"
"20","Dead by Daylight","1.37%","11:05","2.04%","68:16","8.34‱"
"21","The Witcher 3: Wild Hunt","1.33%","11:07","2.69%","112:00","11.93‱"
"22","World of Tanks Blitz","1.3%","09:29","3.15%","25:04","16.02‱"
"23","Insurgency","1.28%","02:52","3.71%","13:58","16.42‱"
"24","Sid Meier's Civilization V","1.27%","10:04","4.9%","88:56","20.62‱"
"25","Fallout Shelter","1.24%","03:46","3.63%","11:01","19.28‱"
"26","Arma 3","1.23%","16:29","2.2%","223:25","8.96‱"
"27","Tom Clancy's Rainbow Six Siege","1.18%","11:31","1.34%","88:09","5.41‱"
"28","Jotun: Valhalla Edition","1.13%","02:04","0.43%","02:21","4.93‱"
"29","Wallpaper Engine","1.08%","02:10","0.96%","09:43","3.82‱"
"30","Heroes & Generals","0.99%","04:28","12.3%","14:55","66.58‱"
"31","Path of Exile","0.92%","16:37","3.16%","50:33","19.95‱"
"32","Don't Starve Together","0.91%","05:56","4.37%","22:27","20.6‱"
"33","Portal 2","0.89%","04:04","7.02%","13:23","34.43‱"
"34","7 Days to Die","0.88%","16:07","2.11%","50:06","8.78‱"
"35","H1Z1: King of the Kill","0.82%","08:37","1.04%","43:31","6.2‱"
"36","The Forest","0.81%","03:31","2.92%","18:04","11.78‱"
"37","DayZ","0.8%","12:13","3.55%","130:31","14.12‱"
"38","ARK: Survival Evolved","0.8%","32:27","2.73%","120:33","11.66‱"
"39","DOOM","0.79%","02:49","1.35%","18:13","5.9‱"
"40","Fallout 4","0.78%","11:19","2.07%","97:47","8.71‱"
"41","Gigantic","0.71%","01:29","0.21%","01:29","1.19‱"
"42","Middle-earth: Shadow of Mordor","0.7%","05:48","1.7%","20:40","8.35‱"
"43","The Elder Scrolls V: Skyrim Special Edition","0.7%","13:47","1.82%","23:07","15.83‱"
"44","SPINTIRES","0.69%","06:12","1.37%","37:13","5.63‱"
"45","Trove","0.69%","08:07","5.38%","18:27","27.18‱"
"46","Shadow Warrior","0.67%","01:39","1.15%","05:35","7.95‱"
"47","Dying Light: The Following - Enhanced Edition","0.65%","09:54","2.58%","43:38","10.78‱"
"48","SMITE","0.64%","11:37","4.62%","31:25","24.06‱"
"49","Killing Floor 2","0.63%","05:08","0.98%","41:03","3.97‱"
"50","Mortal Kombat X","0.61%","04:25","1.61%","24:19","7.05‱"
