"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","61.79%","25:36","41.47%","309:22","195.66‱"
"2","Team Fortress 2","6.89%","07:44","37.92%","101:49","176.87‱"
"3","Dota 2","6.89%","20:10","23.41%","189:45","109.21‱"
"4","Counter-Strike","6.15%","13:23","27.24%","392:27","135.16‱"
"5","Unturned","5.9%","07:16","19.39%","10:56","110.81‱"
"6","Garry's Mod","4.65%","04:45","11.3%","46:31","56.36‱"
"7","Rocket League","4.57%","09:11","2.42%","26:51","11.46‱"
"8","Trove","3.9%","06:42","6.72%","15:24","38.69‱"
"9","H1Z1","3.49%","14:05","3.45%","64:56","16.08‱"
"10","Football Manager 2015","3.41%","37:53","2.87%","444:42","14.17‱"
"11","Counter-Strike: Source","3.07%","02:50","20.51%","335:31","105.87‱"
"12","Left 4 Dead 2","2.74%","03:15","16.76%","30:43","85.65‱"
"13","PAYDAY 2","2.66%","09:06","5.39%","42:29","28.66‱"
"14","AdVenture Capitalist","2.49%","05:20","3.69%","21:51","23.08‱"
"15","Warframe","2.33%","24:32","7.17%","69:16","48.4‱"
"16","Clicker Heroes","2.16%","14:35","3.69%","33:50","23.72‱"
"17","Warface","2.08%","09:26","8.57%","13:15","57.15‱"
"18","Killing Floor 2","1.99%","06:44","0.99%","20:04","145.35‱"
"19","Grand Theft Auto V","1.91%","09:59","1.84%","92:03","8.76‱"
"20","Rust","1.91%","10:39","4.23%","67:13","19.74‱"
"21","ARK: Survival Evolved","1.74%","34:53","1.47%","133:59","6.85‱"
"22","Stealth Inc 2","1.74%","01:28","0.72%","01:28","7.64‱"
"23","Euro Truck Simulator 2","1.66%","05:13","2.94%","50:22","14.17‱"
"24","WARMODE","1.5%","00:51","0.75%","00:47","3.98‱"
"25","S.K.I.L.L. - Special Force 2","1.5%","01:20","2.29%","05:07","15.92‱"
"26","Heroes & Generals","1.41%","01:35","7.71%","08:42","47.92‱"
"27","War Thunder","1.33%","07:39","4.88%","29:59","38.05‱"
"28","Magic Duels","1.33%","06:29","1.47%","14:11","8.6‱"
"29","Dirty Bomb","1.16%","02:11","4.4%","03:13","33.43‱"
"30","Arma 3","1.16%","10:44","1.77%","132:56","8.28‱"
"31","METAL GEAR SOLID V: THE PHANTOM PAIN","1.08%","32:07","0.44%","32:07","2.55‱"
"32","DayZ","1.08%","08:29","3.89%","79:35","18.15‱"
"33","The Elder Scrolls V: Skyrim","1.08%","12:40","4.33%","66:40","23.08‱"
"34","Terraria","1%","04:08","4.51%","51:13","23.56‱"
"35","World of Soccer online","1%","00:44","0.48%","00:39","2.39‱"
"36","Teeworlds","1%","00:49","0.41%","00:50","2.07‱"
"37","Call of Duty: Black Ops II - Multiplayer","1%","02:03","2.29%","104:42","11.3‱"
"38","Sid Meier's Civilization V","1%","12:01","3.82%","62:43","20.7‱"
"39","PAYDAY: The Heist","1%","02:16","5.87%","09:00","36.14‱"
"40","Call of Duty: Modern Warfare 3 - Multiplayer","1%","04:45","2.9%","144:11","14.01‱"
"41","Relic Hunters Zero","1%","01:29","0.55%","01:21","3.98‱"
"42","Path of Exile","0.91%","14:42","4.91%","30:39","32.48‱"
"43","Counter-Strike Nexon: Zombies","0.83%","09:20","6.59%","10:08","49.35‱"
"44","Counter-Strike: Condition Zero","0.83%","07:34","18.23%","119:48","127.52‱"
"45","APB Reloaded","0.83%","10:30","5.26%","20:49","33.43‱"
"46","Fishing Planet","0.83%","01:38","0.92%","01:18","7‱"
"47","Tom Clancy's Ghost Recon Phantoms - EU","0.83%","04:25","6.83%","16:45","45.85‱"
"48","Borderlands 2","0.75%","05:55","3.72%","60:48","18.15‱"
"49","Mad Max","0.75%","22:27","0.31%","22:27","1.43‱"
"50","Age of Empires II: HD Edition","0.75%","02:31","1.91%","26:56","9.87‱"
