"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Dota 2","63.31%","26:42","73.17%","517:41","839.44‱"
"2","Grand Theft Auto V","15.1%","10:58","11.25%","85:46","132.63‱"
"3","Counter-Strike: Global Offensive","12.91%","14:29","13.09%","130:29","152.97‱"
"4","Left 4 Dead 2","5.19%","08:00","7.14%","35:06","93.75‱"
"5","Unturned","3.06%","05:34","7.42%","19:12","101.09‱"
"6","BattleBlock Theater","1.82%","03:37","2.34%","09:50","29.49‱"
"7","ARK: Survival Evolved","1.72%","37:40","0.8%","50:07","9.62‱"
"8","Warframe","1.59%","21:18","4.35%","91:15","75.07‱"
"9","Team Fortress 2","1.49%","07:05","10.36%","51:15","118.91‱"
"10","War Thunder","1.17%","14:11","3%","65:53","54.88‱"
"11","Garry's Mod","1.12%","04:05","2.52%","37:28","31.15‱"
"12","PAYDAY 2","1.12%","11:40","2.4%","43:17","29.81‱"
"13","Don't Starve Together Beta","1.1%","06:13","1.48%","17:42","26.65‱"
"14","The Binding of Isaac: Rebirth","1.08%","06:30","0.9%","57:24","10.49‱"
"15","H1Z1","1.04%","15:49","1.38%","57:54","16.16‱"
"16","Castle Crashers","1.03%","02:17","1.82%","05:45","22.47‱"
"17","DayZ","0.94%","09:20","1.96%","91:26","22.63‱"
"18","Terraria","0.81%","03:19","1.77%","23:20","22.16‱"
"19","Clicker Heroes","0.74%","18:25","0.49%","23:03","7.96‱"
"20","The Elder Scrolls V: Skyrim","0.73%","05:32","1.46%","36:38","18.85‱"
"21","Euro Truck Simulator 2","0.71%","08:06","0.94%","46:35","11.67‱"
"22","NBA 2K15","0.67%","23:17","0.45%","158:09","5.52‱"
"23","Counter-Strike: Source","0.67%","07:49","2.54%","135:35","40.92‱"
"24","Don't Starve","0.67%","05:05","1.84%","14:38","23.58‱"
"25","Insurgency","0.66%","04:44","1.01%","15:49","14.67‱"
"26","Portal 2","0.64%","04:00","1.8%","08:28","26.73‱"
"27","Arma 3","0.64%","09:51","0.71%","104:07","8.28‱"
"28","Dirty Bomb","0.6%","01:09","0.43%","01:12","9.54‱"
"29","Company of Heroes 2","0.57%","13:30","0.78%","139:02","9.7‱"
"30","Robocraft","0.55%","02:45","2.69%","12:20","43.76‱"
"31","Gaokao.Love.100Days","0.55%","05:09","0.42%","06:43","5.2‱"
"32","The Witcher 3: Wild Hunt","0.5%","12:33","0.32%","37:37","4.02‱"
"33","Counter-Strike","0.48%","06:51","2.23%","89:09","38.16‱"
"34","Rust","0.48%","06:20","1.06%","98:07","12.14‱"
"35","Alien Swarm","0.46%","03:14","1.73%","06:24","19.79‱"
"36","Runestone Keeper","0.46%","04:21","0.68%","15:21","7.81‱"
"37","7 Days to Die","0.46%","11:26","0.6%","70:48","7.02‱"
"38","Eternal Senia","0.39%","01:41","0.15%","01:41","2.29‱"
"39","Ultra Street Fighter IV","0.39%","13:38","0.42%","59:06","6.7‱"
"40","Tomb Raider","0.37%","04:08","1.2%","12:50","16.16‱"
"41","Call of Duty: Black Ops II - Multiplayer","0.37%","07:44","0.64%","105:01","8.2‱"
"42","Batman: Arkham Knight","0.37%","07:07","0.14%","07:07","1.89‱"
"43","Borderlands 2","0.35%","14:05","0.97%","47:07","11.91‱"
"44","Sid Meier's Civilization V","0.35%","12:51","0.93%","66:24","12.14‱"
"45","Age of Empires II: HD Edition","0.35%","06:14","0.52%","10:52","6.78‱"
"46","Mount & Blade: Warband","0.35%","14:14","0.85%","39:54","10.88‱"
"47","Rising Storm/Red Orchestra 2 Multiplayer","0.34%","06:19","1.01%","27:53","19.55‱"
"48","No More Room in Hell","0.34%","03:51","1.64%","12:01","29.49‱"
"49","Red Crucible: Firestorm","0.3%","00:37","0.16%","01:07","2.6‱"
"50","Besiege","0.3%","01:47","0.58%","08:34","6.86‱"
