"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","47.76%","17:57","38.07%","337:22","162.38‱"
"2","Dota 2","11.67%","22:29","34.88%","378:49","147.28‱"
"3","Paladins","11.29%","08:05","21.35%","27:21","100.92‱"
"4","Grand Theft Auto V","6.57%","07:34","8.42%","134:43","36.08‱"
"5","Rocket League","4.88%","07:31","4.98%","94:07","22.31‱"
"6","H1Z1: King of the Kill","3.81%","09:19","5.67%","73:46","27.83‱"
"7","PLAYERUNKNOWN'S BATTLEGROUNDS","3.23%","17:12","1.27%","35:31","5.57‱"
"8","Tom Clancy's Rainbow Six Siege","3.23%","13:54","2.55%","175:46","10.83‱"
"9","Brawlhalla","3.23%","03:57","13.1%","12:34","59.09‱"
"10","Euro Truck Simulator 2","2.98%","07:43","4.79%","126:13","20.93‱"
"11","Unturned","2.6%","04:07","26.61%","24:54","125.46‱"
"12","Team Fortress 2","2.48%","10:17","27.95%","73:31","118.04‱"
"13","Last Man Standing","2.44%","03:55","1.82%","04:14","12.5‱"
"14","Warframe","2.2%","12:14","10.3%","66:25","65.01‱"
"15","Garry's Mod","2%","06:00","8.26%","59:17","36.6‱"
"16","Infestation: The New Z","1.9%","06:21","7.16%","14:10","39.46‱"
"17","Left 4 Dead 2","1.77%","03:33","14.64%","33:09","67.35‱"
"18","Fallout Shelter","1.73%","05:31","1.58%","09:03","10.07‱"
"19","Terraria","1.67%","10:01","4.62%","89:30","20.32‱"
"20","SMITE","1.33%","10:33","4.31%","17:27","25.03‱"
"21","Don't Starve Together","1.31%","06:23","4.58%","32:05","23.21‱"
"22","Tree of Savior (English Ver.)","1.29%","21:44","6.6%","87:00","33.83‱"
"23","Path of Exile","1.29%","18:09","8.61%","48:08","48.64‱"
"24","Arma 3","1.29%","12:24","1.65%","269:53","7.04‱"
"25","ARK: Survival Evolved","1.15%","25:31","3.1%","171:42","13.71‱"
"26","Rust","1.15%","10:43","4.13%","125:36","17.61‱"
"27","Trove","1.09%","08:06","10.28%","25:32","50.29‱"
"28","Creativerse","1.05%","06:13","6.38%","09:44","30.6‱"
"29","Alien Swarm: Reactive Drop","1.05%","02:01","0.42%","02:00","2.77‱"
"30","Counter-Strike","1.03%","05:18","9.43%","271:27","45.32‱"
"31","Saints Row 2","0.99%","03:09","0.98%","02:55","16.74‱"
"32","PAYDAY 2","0.93%","05:25","6.73%","47:43","30.92‱"
"33","Insurgency","0.91%","04:44","3.35%","26:25","16.05‱"
"34","TERA","0.91%","11:57","6.02%","25:02","40.93‱"
"35","Chivalry: Medieval Warfare","0.83%","01:58","4.79%","11:04","29.07‱"
"36","The Elder Scrolls V: Skyrim","0.83%","09:10","5.5%","88:06","24.54‱"
"37","The Witcher 3: Wild Hunt","0.77%","07:24","2%","87:27","9.5‱"
"38","War Thunder","0.73%","06:59","5.08%","48:18","35.39‱"
"39","Heroes & Generals","0.73%","03:46","10.12%","08:55","55.77‱"
"40","Stardew Valley","0.69%","08:28","1.31%","45:41","5.6‱"
"41","AdVenture Capitalist","0.67%","02:15","6.71%","34:25","32.74‱"
"42","Robocraft","0.65%","04:18","9.88%","16:54","50.89‱"
"43","The Binding of Isaac: Rebirth","0.62%","02:22","0.81%","97:42","3.44‱"
"44","Call of Duty: Black Ops II","0.6%","03:21","2.11%","110:01","9.21‱"
"45","Counter-Strike: Source","0.6%","06:39","5.48%","192:25","30.37‱"
"46","Dead by Daylight","0.58%","05:36","0.98%","48:57","4.39‱"
"47","Cities: Skylines","0.54%","04:16","1.7%","27:02","7.48‱"
"48","Tom Clancys The Division","0.54%","04:13","0.92%","71:11","5.08‱"
"49","Middle-earth: Shadow of Mordor","0.54%","03:21","2.27%","23:40","11.09‱"
"50","Mitos.is: The Game","0.54%","02:24","3.87%","14:44","19.17‱"
