"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","34.59%","14:39","40.7%","333:17","113.12‱"
"2","Rocket League","8.84%","08:01","11.19%","89:58","31.46‱"
"3","Garry's Mod","6.72%","06:55","17.5%","76:33","50.74‱"
"4","Dota 2","6.01%","22:10","23.28%","272:27","63.89‱"
"5","Grand Theft Auto V","5.77%","09:31","8.46%","126:28","23.52‱"
"6","ARK: Survival Evolved","4.87%","16:32","10.81%","129:06","30.67‱"
"7","Arma 3","4.48%","15:30","10%","228:19","27.69‱"
"8","H1Z1: King of the Kill","4.13%","09:25","4.01%","36:59","16.44‱"
"9","The Forest","3.48%","07:16","7.67%","24:18","21.64‱"
"10","Euro Truck Simulator 2","3.34%","08:21","7.62%","84:07","21.98‱"
"11","Paladins","2.89%","06:50","5.34%","13:26","16.78‱"
"12","Tom Clancy's Rainbow Six Siege","2.85%","09:21","2.8%","75:27","8.2‱"
"13","Team Fortress 2","2.67%","12:57","26.69%","84:09","73.26‱"
"14","The Elder Scrolls V: Skyrim","2.42%","05:38","17.71%","100:59","50.33‱"
"15","Call of Duty: Black Ops II - Multiplayer","2.4%","03:26","9.92%","120:51","28.37‱"
"16","The Binding of Isaac: Rebirth","2.39%","07:16","3.08%","103:45","8.5‱"
"17","DayZ","2.18%","06:46","10.8%","92:13","29.79‱"
"18","Rust","2.14%","14:24","7.04%","91:21","20.71‱"
"19","Counter-Strike: Source","2.1%","05:55","26.18%","228:41","80.02‱"
"20","Call of Duty: Black Ops III","1.96%","07:42","4.86%","78:56","13.58‱"
"21","Dead by Daylight","1.95%","06:53","3.43%","46:03","9.77‱"
"22","Fallout 4","1.9%","09:14","6.87%","86:59","19.32‱"
"23","PAYDAY 2","1.82%","04:43","12.22%","48:53","36.03‱"
"24","RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil","1.76%","07:31","0.71%","07:31","2.07‱"
"25","Terraria","1.71%","07:39","10.73%","62:30","30.43‱"
"26","War Thunder","1.66%","10:34","8.08%","55:40","31.25‱"
"27","Unturned","1.65%","05:02","16.33%","18:04","53.99‱"
"28","Borderlands 2","1.63%","06:02","12.21%","58:52","35.31‱"
"29","Warframe","1.52%","09:58","9.06%","73:57","34.1‱"
"30","The Witcher 3: Wild Hunt","1.5%","11:29","3.81%","69:17","11.68‱"
"31","Age of Empires II: HD Edition","1.49%","05:02","7.35%","26:40","21.42‱"
"32","Heroes & Generals","1.44%","04:05","10.55%","19:50","37.3‱"
"33","Conan Exiles","1.42%","07:08","0.58%","07:09","1.76‱"
"34","Cities: Skylines","1.39%","03:46","7.79%","32:13","21.99‱"
"35","The Elder Scrolls V: Skyrim Special Edition","1.31%","07:04","3.47%","15:42","25.74‱"
"36","Call of Duty: Modern Warfare 2 - Multiplayer","1.31%","02:13","12.83%","167:58","36.45‱"
"37","Sid Meier’s Civilization® VI","1.27%","10:46","1.92%","42:52","5.45‱"
"38","Brawlhalla","1.27%","02:42","5.68%","09:15","17.04‱"
"39","Left 4 Dead 2","1.25%","02:18","17.76%","32:10","54.69‱"
"40","Sid Meier's Civilization V","1.14%","12:46","9.66%","113:43","28.07‱"
"41","7 Days to Die","1.14%","16:05","4.09%","70:46","11.42‱"
"42","Factorio","1.12%","11:10","2%","48:53","5.53‱"
"43","Company of Heroes 2","1.11%","06:38","4.86%","86:19","14.74‱"
"44","Clicker Heroes","1.09%","29:19","7.12%","131:48","23.51‱"
"45","Call of Duty: Modern Warfare 3 - Multiplayer","1.06%","06:13","10.02%","128:26","28.9‱"
"46","Total War: WARHAMMER","1.06%","07:50","1.96%","61:21","5.64‱"
"47","Infestation: The New Z","1.03%","05:58","1.67%","13:04","6.31‱"
"48","SMITE","1.01%","09:43","4.39%","38:20","15.34‱"
"49","Resident Evil 7 / Biohazard 7 Teaser: Beginning Hour","1.01%","00:36","1.01%","00:43","3.43‱"
"50","Space Engineers","1%","11:37","4.4%","69:44","13.07‱"
