"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","30.52%","14:51","29.08%","248:24","117.66‱"
"2","Garry's Mod","8.73%","13:51","16.54%","104:45","69.85‱"
"3","Rocket League","8.33%","08:32","6.38%","50:22","25.79‱"
"4","Unturned","4.64%","05:00","17.67%","16:48","80.47‱"
"5","Dota 2","4.54%","24:11","19.67%","168:38","78.26‱"
"6","Team Fortress 2","4.42%","06:23","33.7%","70:30","134.06‱"
"7","The Elder Scrolls V: Skyrim","4.25%","06:32","14.71%","104:55","60.79‱"
"8","Arma 3","4.24%","16:45","6.76%","213:28","27.16‱"
"9","Sid Meier's Civilization V","3.99%","15:15","7.6%","115:26","32.1‱"
"10","ARK: Survival Evolved","3.54%","20:41","5.89%","94:36","24.02‱"
"11","Brawlhalla","3.09%","03:54","3.86%","09:16","16.4‱"
"12","Clicker Heroes","3.07%","19:19","6.14%","105:36","28.88‱"
"13","Rust","2.9%","14:42","6.23%","81:49","25.25‱"
"14","Fallout 4","2.87%","11:18","3.67%","69:33","14.94‱"
"15","Counter-Strike: Source","2.72%","08:53","24.16%","264:50","105.98‱"
"16","Grand Theft Auto V","2.66%","08:12","4.01%","89:16","16.15‱"
"17","Call of Duty: Black Ops III","2.62%","11:13","2.12%","60:56","8.92‱"
"18","H1Z1","2.59%","05:02","4.14%","61:21","16.63‱"
"19","Left 4 Dead 2","2.5%","03:39","17.3%","42:13","75.85‱"
"20","PAYDAY 2","2.45%","06:31","10.48%","58:12","43.44‱"
"21","Warframe","2.31%","19:20","8.99%","68:31","47.99‱"
"22","H1Z1: King of the Kill","2.21%","09:13","0.86%","09:12","16.73‱"
"23","Euro Truck Simulator 2","2.19%","06:41","3.82%","63:59","16.26‱"
"24","Dying Light","2.19%","10:31","2.78%","32:57","11.36‱"
"25","The Binding of Isaac: Rebirth","2.19%","05:37","2.83%","92:24","11.38‱"
"26","DayZ","2.01%","09:38","6.93%","86:39","27.69‱"
"27","AdVenture Capitalist","1.97%","06:42","3.42%","35:51","16.26‱"
"28","Robocraft","1.88%","03:47","11.93%","19:46","57.31‱"
"29","Trove","1.88%","06:44","7.24%","25:32","33.52‱"
"30","Rise of the Tomb Raider™","1.86%","06:44","1.27%","15:23","5.65‱"
"31","Cities: Skylines","1.77%","06:37","2.59%","29:34","10.59‱"
"32","Borderlands 2","1.75%","07:58","9.39%","62:55","39.42‱"
"33","SNOW","1.71%","01:49","1.42%","02:37","6.62‱"
"34","BLOCKADE 3D","1.63%","01:06","7.23%","09:06","32.94‱"
"35","War Thunder","1.59%","06:00","6.55%","47:25","36.94‱"
"36","XCOM 2","1.56%","17:39","0.81%","33:13","3.46‱"
"37","SMITE","1.53%","10:32","2.68%","21:47","15.15‱"
"38","SEGA Genesis & Mega Drive Classics","1.47%","00:11","1.15%","02:28","12.29‱"
"39","Heroes & Generals","1.42%","03:52","7.6%","13:06","38.73‱"
"40","American Truck Simulator","1.33%","11:13","0.57%","25:44","2.3‱"
"41","Terraria","1.32%","04:47","6.58%","52:32","27.74‱"
"42","Call of Duty: Black Ops II - Multiplayer","1.32%","06:09","4.65%","143:10","19.49‱"
"43","Portal 2","1.29%","02:42","8.99%","16:16","40.7‱"
"44","Football Manager 2016","1.23%","33:37","0.73%","180:30","2.9‱"
"45","Street Fighter V","1.21%","16:42","0.47%","18:04","1.9‱"
"46","Chivalry: Medieval Warfare","1.18%","03:53","7.16%","18:10","30.25‱"
"47","The Forest","1.12%","03:13","3.56%","14:38","14.31‱"
"48","Orcs Must Die! 2","1.09%","03:47","3.25%","15:27","16.75‱"
"49","Warface","1.07%","08:26","5.75%","16:49","32.36‱"
"50","Total War: ROME II - Emperor Edition","1.04%","13:53","3.1%","135:00","13.17‱"
