"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","27.1%","16:59","28.26%","211:48","64.26‱"
"2","Dota 2","9.69%","19:20","26.59%","284:20","58.5‱"
"3","Team Fortress 2","7.67%","07:22","47.17%","96:37","103.79‱"
"4","Garry's Mod","7.48%","06:50","29.42%","97:04","69.75‱"
"5","Grand Theft Auto V","6.09%","08:01","8.51%","74:33","18.94‱"
"6","Rocket League","6.07%","06:15","5.2%","25:08","11.95‱"
"7","The Elder Scrolls V: Skyrim","5.01%","06:41","25.32%","88:42","58.42‱"
"8","Sid Meier's Civilization V","4.54%","08:36","19.82%","100:21","45.8‱"
"9","Arma 3","4.1%","12:10","7.56%","123:41","16.93‱"
"10","Football Manager 2015","4.07%","28:49","5.18%","339:37","11.52‱"
"11","Cities: Skylines","3.76%","05:45","6.1%","24:47","13.77‱"
"12","METAL GEAR SOLID V: THE PHANTOM PAIN","3.7%","14:02","2.35%","47:44","5.57‱"
"13","ARK: Survival Evolved","3.31%","20:46","4.75%","68:22","10.83‱"
"14","Prison Architect","3.21%","04:20","8%","22:22","19.22‱"
"15","PAYDAY 2","3.12%","08:19","12.22%","55:33","29.4‱"
"16","AdVenture Capitalist","2.97%","09:48","4.17%","33:28","11.98‱"
"17","Left 4 Dead 2","2.75%","03:41","25.57%","34:22","63.48‱"
"18","Unturned","2.62%","04:10","16.35%","09:43","44.28‱"
"19","H1Z1","2.52%","07:27","4.46%","36:19","9.97‱"
"20","DayZ","2.47%","06:05","11.83%","64:39","26.26‱"
"21","Terraria","2.44%","07:35","18.59%","58:36","43.66‱"
"22","Warframe","2.39%","12:10","9.12%","61:07","27.23‱"
"23","SMITE","2.37%","09:25","2%","10:32","6.7‱"
"24","Borderlands 2","2.23%","06:33","14.68%","54:13","35.29‱"
"25","Clicker Heroes","2.23%","22:42","3.74%","74:25","10.69‱"
"26","The Binding of Isaac: Rebirth","2.2%","06:40","3.13%","63:24","7.08‱"
"27","Fallout: New Vegas","2.16%","06:07","12.56%","48:43","31.08‱"
"28","Euro Truck Simulator 2","2.12%","05:43","7.6%","41:49","18.47‱"
"29","Mad Max","2.1%","06:32","1.96%","20:49","4.56‱"
"30","Total War: ROME II - Emperor Edition","2.05%","08:37","7.46%","97:27","17.27‱"
"31","War Thunder","1.95%","05:08","9.24%","39:12","28.41‱"
"32","Mount & Blade: Warband","1.79%","10:35","7.25%","107:43","17.44‱"
"33","Arma 2: Operation Arrowhead","1.66%","07:59","12.95%","55:58","31.63‱"
"34","Europa Universalis IV","1.66%","14:26","2.55%","177:20","6.18‱"
"35","SpeedRunners","1.58%","01:58","2.9%","06:33","65.15‱"
"36","Dirty Bomb","1.57%","06:33","6.86%","09:36","20.36‱"
"37","Counter-Strike: Source","1.52%","03:20","21.86%","88:57","61.65‱"
"38","Robocraft","1.5%","09:44","9.79%","21:32","28.94‱"
"39","Insurgency","1.45%","03:22","5.15%","13:58","14.42‱"
"40","Rust","1.44%","06:25","6.99%","55:52","15.64‱"
"41","Chivalry: Medieval Warfare","1.42%","02:45","9.33%","19:17","22.3‱"
"42","Killing Floor 2","1.4%","04:20","2.43%","18:43","5.93‱"
"43","Block N Load Beta","1.37%","02:53","1.11%","08:59","3.28‱"
"44","Elite: Dangerous","1.34%","13:40","1.92%","34:26","4.62‱"
"45","Crusader Kings II","1.32%","10:16","4.02%","88:53","11.13‱"
"46","Call of Duty: World at War","1.23%","05:07","3.46%","27:11","8.2‱"
"47","XCOM: Enemy Unknown","1.23%","11:30","9.08%","43:14","24.41‱"
"48","Space Engineers","1.19%","05:40","5.61%","34:03","12.66‱"
"49","Company of Heroes 2","1.18%","10:29","3.78%","55:49","10.26‱"
"50","Call of Duty: Black Ops II - Multiplayer","1.18%","03:20","4.77%","61:14","11.38‱"
