"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","30.63%","18:37","29.69%","209:28","80.43‱"
"2","Dota 2","14.6%","21:36","35.56%","274:27","93.57‱"
"3","Garry's Mod","8.95%","10:38","23.33%","108:52","66.59‱"
"4","Team Fortress 2","8.87%","08:39","44.79%","121:00","117.84‱"
"5","Terraria","5.69%","09:35","18.18%","71:41","50.86‱"
"6","Rocket League","5.69%","08:00","3.39%","21:50","9.05‱"
"7","PAYDAY 2","5.08%","09:31","11.84%","57:40","39.39‱"
"8","Sid Meier's Civilization V","4.96%","10:50","17.05%","122:53","47.52‱"
"9","Unturned","4.73%","07:26","17.95%","14:34","60.39‱"
"10","The Elder Scrolls V: Skyrim","4.44%","08:50","18.91%","104:21","52.7‱"
"11","Grand Theft Auto V","4.21%","08:32","5.8%","74:35","15.43‱"
"12","ARK: Survival Evolved","4.1%","23:36","4.34%","53:18","40.57‱"
"13","H1Z1","3.58%","11:59","4.87%","47:27","12.95‱"
"14","Left 4 Dead 2","3.45%","03:36","23.34%","41:19","69.93‱"
"15","Clicker Heroes","3.2%","19:31","3.63%","82:59","13‱"
"16","AdVenture Capitalist","3.03%","09:27","3.37%","47:27","11.84‱"
"17","DayZ","2.7%","08:06","8.44%","65:57","22.5‱"
"18","Warframe","2.7%","20:38","9.65%","69:50","36.32‱"
"19","Fallout: New Vegas","2.68%","06:07","10.78%","49:50","33.16‱"
"20","Trove","2.62%","05:58","4.6%","16:01","15.3‱"
"21","Mount & Blade: Warband","2.28%","06:16","5.38%","71:23","76.73‱"
"22","Borderlands 2","2.24%","06:09","15.08%","58:36","43‱"
"23","Arma 3","2.18%","13:32","4.52%","124:08","12.09‱"
"24","War Thunder","2.01%","06:55","7.26%","43:52","28.16‱"
"25","Counter-Strike: Source","1.99%","04:50","18.59%","105:37","60.48‱"
"26","The Binding of Isaac: Rebirth","1.92%","06:15","3.37%","59:30","9.25‱"
"27","Rust","1.86%","16:41","7.2%","66:23","19.11‱"
"28","Dirty Bomb","1.72%","04:03","5.05%","09:32","18.18‱"
"29","Starbound","1.63%","05:02","7.01%","45:33","18.95‱"
"30","Heroes & Generals","1.53%","05:10","7.66%","12:19","28.77‱"
"31","Insurgency","1.46%","03:29","4.78%","19:10","15.68‱"
"32","Killing Floor 2","1.46%","03:15","2.03%","13:42","21.82‱"
"33","METAL GEAR SOLID V: THE PHANTOM PAIN","1.36%","11:06","0.56%","11:06","2.2‱"
"34","TERA","1.28%","08:02","4.24%","21:03","17.2‱"
"35","Path of Exile","1.28%","11:04","7.42%","49:01","27.05‱"
"36","Fishing Planet","1.26%","02:00","0.85%","01:59","3.34‱"
"37","PlanetSide 2","1.21%","03:54","8.13%","30:28","28.86‱"
"38","Don't Starve Together Beta","1.19%","05:19","5.27%","13:57","25.2‱"
"39","The Witcher 3: Wild Hunt","1.19%","08:19","2.01%","45:07","5.64‱"
"40","Cities: Skylines","1.19%","06:50","3.65%","26:35","9.93‱"
"41","Call of Duty: World at War","1.15%","09:01","2.95%","38:32","8.66‱"
"42","Robocraft","1.15%","05:21","8.34%","21:24","30.55‱"
"43","Magic Duels","1.15%","06:48","1.39%","08:57","4.7‱"
"44","Chivalry: Medieval Warfare","1.13%","01:59","8.9%","21:25","26.27‱"
"45","WARMODE","1.11%","00:44","0.46%","00:44","1.43‱"
"46","The Forest","1.07%","02:33","3.77%","11:07","10.23‱"
"47","Besiege","1.05%","03:11","2.91%","08:18","8.25‱"
"48","Call of Duty: Black Ops III Beta","1.05%","02:14","0.43%","02:14","4.8‱"
"49","7 Days to Die","1.03%","05:53","3.76%","44:27","10.27‱"
"50","METAL GEAR SOLID V: GROUND ZEROES","1.03%","05:56","1.11%","07:21","3.82‱"
