"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","61.93%","25:47","38.98%","254:29","170.57‱"
"2","Counter-Strike","7.2%","08:45","29.18%","545:56","133.41‱"
"3","Unturned","5%","03:20","18.02%","11:47","95.35‱"
"4","Team Fortress 2","4.76%","06:25","20.69%","103:18","90.19‱"
"5","Euro Truck Simulator 2","3.78%","06:36","5.95%","47:19","28‱"
"6","Dota 2","3.6%","18:12","13.67%","140:48","59.61‱"
"7","Garry's Mod","3.54%","07:56","8.55%","93:09","40.9‱"
"8","PAYDAY 2","3.11%","10:50","5.21%","45:22","27.35‱"
"9","The Elder Scrolls V: Skyrim","2.68%","06:02","10.15%","99:03","46.97‱"
"10","Robocraft","2.56%","07:58","8.4%","14:32","48.51‱"
"11","War Thunder","2.44%","05:27","5.8%","33:27","38.19‱"
"12","BLOCKADE 3D","2.2%","02:17","5.24%","05:33","27.22‱"
"13","Left 4 Dead 2","2.14%","02:52","17.9%","32:16","88.77‱"
"14","Mount & Blade: Warband","1.89%","06:16","4.11%","103:19","18.32‱"
"15","Sid Meier's Civilization V","1.83%","06:49","7.49%","70:47","35.74‱"
"16","Counter-Strike: Source","1.71%","04:26","10.18%","238:48","51.61‱"
"17","Don't Starve Together Beta","1.53%","03:51","2.72%","12:34","12.64‱"
"18","Terraria","1.53%","04:27","5.83%","43:43","26.84‱"
"19","Cities: Skylines","1.4%","11:37","0.92%","15:47","4‱"
"20","Tom Clancy's Ghost Recon Phantoms - EU","1.34%","17:46","6.45%","22:19","40.64‱"
"21","Counter-Strike Nexon: Zombies","1.34%","07:01","6.87%","11:24","44.9‱"
"22","Heroes & Generals","1.34%","05:18","5.68%","06:49","34.71‱"
"23","Warframe","1.28%","07:13","4.53%","33:15","28‱"
"24","Don't Starve","1.22%","02:14","4.56%","20:24","20.64‱"
"25","Dying Light","1.16%","05:10","1.3%","31:40","5.94‱"
"26","Total War: ROME II - Emperor Edition","1.16%","05:56","2.46%","103:17","14.84‱"
"27","Borderlands 2","1.1%","09:27","4.44%","50:47","20.26‱"
"28","Call of Duty: Black Ops II - Multiplayer","1.1%","05:27","3.2%","114:29","14.84‱"
"29","DayZ","1.04%","07:34","2.34%","40:02","10.19‱"
"30","Pillars of Eternity","1.04%","16:30","0.5%","16:32","2.19‱"
"31","Company of Heroes 2","0.98%","07:28","2.49%","63:54","16‱"
"32","The Binding of Isaac","0.92%","01:33","4.32%","25:22","20.26‱"
"33","Warface","0.85%","05:13","5.3%","13:44","33.03‱"
"34","Fallout: New Vegas","0.85%","08:43","3.97%","46:45","19.61‱"
"35","Grand Theft Auto IV","0.79%","02:29","4.79%","22:48","23.74‱"
"36","Dead Island","0.79%","01:05","9.5%","20:33","46.06‱"
"37","Tomb Raider","0.79%","04:47","4.44%","16:55","21.42‱"
"38","PAYDAY: The Heist","0.73%","00:40","9.23%","05:44","56.77‱"
"39","Sniper Elite V2","0.73%","01:03","11.66%","06:27","70.45‱"
"40","The Mighty Quest For Epic Loot","0.67%","03:35","2.22%","09:11","13.68‱"
"41","Arma 3","0.67%","14:17","1.86%","127:22","8.26‱"
"42","Call of Duty: Black Ops - Multiplayer","0.61%","06:16","6.19%","109:13","28.51‱"
"43","Metro 2033","0.61%","01:09","8.35%","06:38","66.84‱"
"44","Arma 2: Operation Arrowhead","0.61%","07:56","3.08%","37:14","15.74‱"
"45","Counter-Strike: Condition Zero","0.61%","06:02","13.76%","36:48","96.77‱"
"46","AdVenture Capitalist","0.61%","05:27","0.3%","05:27","2.06‱"
"47","H1Z1","0.61%","05:54","0.56%","29:53","2.45‱"
"48","Killing Floor","0.61%","03:04","3.73%","39:06","28.13‱"
"49","Neverwinter","0.61%","14:02","3.49%","30:30","20‱"
"50","Saints Row: The Third","0.61%","04:00","6.1%","29:46","33.8‱"
