"United States","Team Fortress 2","Counter-Strike: Global Offensive","Garry's Mod","Unturned","Dota 2"
"Russia","Dota 2","Counter-Strike: Global Offensive","Team Fortress 2","Unturned","Counter-Strike: Source"
"China","Dota 2","PLAYERUNKNOWN'S BATTLEGROUNDS","Counter-Strike: Global Offensive","H1Z1: King of the Kill","H1Z1: King of the Kill Test Server"
"Brazil","Counter-Strike: Global Offensive","Dota 2","Unturned","","Paladins"
"Germany","Counter-Strike: Global Offensive","Counter-Strike: Source","Team Fortress 2","Half-Life 2: Lost Coast","Dota 2"
"France","Counter-Strike: Global Offensive","Team Fortress 2","Unturned","Counter-Strike: Source","Garry's Mod"
"United Kingdom","Team Fortress 2","Counter-Strike: Global Offensive","Garry's Mod","Left 4 Dead 2","Left 4 Dead 2 Beta"
"Canada","Team Fortress 2","Dota 2","Counter-Strike: Global Offensive","Unturned","Left 4 Dead 2"
"Poland","Counter-Strike: Global Offensive","Team Fortress 2","Unturned","PAYDAY 2: Ultimate Edition","Dota 2"
"Turkey","Counter-Strike: Global Offensive","PAYDAY 2: Ultimate Edition","Unturned","Dota 2","Team Fortress 2"
"Philippines","Dota 2","Freestyle 2: Street Basketball","GunZ 2: The Second Duel","Warframe","Unturned"
"Ukraine","Dota 2","Counter-Strike: Global Offensive","Team Fortress 2","Unturned","Heroes & Generals"
"Australia","Team Fortress 2","Counter-Strike: Global Offensive","Dota 2","Garry's Mod","Unturned"
"Indonesia","Dota 2","","Paladins","Warframe","Freestyle 2: Street Basketball"
"Korea","PLAYERUNKNOWN'S BATTLEGROUNDS","Team Fortress 2","Left 4 Dead 2","Left 4 Dead 2 Beta","Dota 2"
"Japan","Dota 2","Left 4 Dead 2 Beta","Left 4 Dead 2","Counter-Strike: Global Offensive","PAYDAY 2: Ultimate Edition"
"Thailand","Dota 2","Team Fortress 2","Unturned","Counter-Strike: Global Offensive","Warframe"
"Sweden","Counter-Strike: Global Offensive","Team Fortress 2","Dota 2","Counter-Strike","Unturned"
"Spain","Counter-Strike: Global Offensive","Team Fortress 2","PAYDAY 2: Ultimate Edition","Left 4 Dead 2 Beta","Left 4 Dead 2"
"Italy","Team Fortress 2","Dota 2","Unturned","Counter-Strike: Global Offensive","PAYDAY 2: Ultimate Edition"
"Argentina","Unturned","Dota 2","Team Fortress 2","Counter-Strike: Global Offensive","PAYDAY 2: Ultimate Edition"
"Romania","Counter-Strike: Global Offensive","Team Fortress 2","Dota 2","Unturned",""
"Malaysia","Dota 2","Counter-Strike: Global Offensive","Warframe","Team Fortress 2","Paladins"
"Netherlands","Team Fortress 2","Counter-Strike: Global Offensive","Unturned","Dota 2","PAYDAY 2: Ultimate Edition"
"Mexico","Team Fortress 2","Unturned","Left 4 Dead 2 Beta","Left 4 Dead 2","Paladins"
"Chile","Unturned","Team Fortress 2","Dota 2","Left 4 Dead 2 Beta","Left 4 Dead 2"
"Portugal","Counter-Strike: Global Offensive","Team Fortress 2","Unturned","Paladins",""
"Peru","Dota 2","Unturned","Warframe","Team Fortress 2","Paladins"
"Denmark","Counter-Strike: Global Offensive","Team Fortress 2","Counter-Strike: Source","Half-Life 2: Deathmatch","Half-Life 2: Lost Coast"
"Belarus","Dota 2","Counter-Strike: Global Offensive","Unturned","Team Fortress 2","Heroes & Generals"
"Norway","Counter-Strike: Global Offensive","Team Fortress 2","Counter-Strike: Source","Dota 2","Garry's Mod"
"Czech Republic","Team Fortress 2","Counter-Strike: Global Offensive","Dota 2","Unturned","PAYDAY 2: Ultimate Edition"
"Belgium","Counter-Strike: Global Offensive","Team Fortress 2","Counter-Strike: Source","Unturned","Half-Life 2: Lost Coast"
"Taiwan","Left 4 Dead 2","Left 4 Dead 2 Beta","PAYDAY 2: Ultimate Edition","Team Fortress 2","Counter-Strike: Global Offensive"
"India","Dota 2","Counter-Strike: Global Offensive","Team Fortress 2","Counter-Strike","Counter-Strike: Condition Zero"
"Finland","Counter-Strike: Global Offensive","Team Fortress 2","Dota 2","Counter-Strike: Source","Half-Life 2: Lost Coast"
"Kazakhstan","Dota 2","Counter-Strike: Global Offensive","Unturned","Team Fortress 2","Warframe"
"Hungary","Team Fortress 2","Counter-Strike: Global Offensive","Unturned","PAYDAY 2: Ultimate Edition","Dota 2"
"Vietnam","Dota 2","Counter-Strike: Global Offensive","PAYDAY 2: Ultimate Edition","Team Fortress 2","Warframe"
"Austria","Counter-Strike: Global Offensive","Team Fortress 2","Dota 2","Counter-Strike: Source","Half-Life 2: Lost Coast"
"Singapore","Dota 2","Team Fortress 2","Counter-Strike: Global Offensive","Left 4 Dead 2","Left 4 Dead 2 Beta"
"Colombia","Unturned","Team Fortress 2","Dota 2","","Paladins"
"Greece","Dota 2","Counter-Strike: Global Offensive","Team Fortress 2","PAYDAY 2: Ultimate Edition","Unturned"
"Afghanistan","Dota 2","Counter-Strike: Global Offensive","Team Fortress 2","Unturned","Warframe"
"New Zealand","Team Fortress 2","Counter-Strike: Global Offensive","Dota 2","Unturned","Garry's Mod"
"Venezuela","Dota 2","Unturned","Team Fortress 2","Counter-Strike","Counter-Strike Nexon: Zombies"
"Switzerland","Counter-Strike: Global Offensive","Team Fortress 2","Dota 2","Counter-Strike: Source","Half-Life 2: Lost Coast"
"Hong Kong","Team Fortress 2","Counter-Strike: Global Offensive","Left 4 Dead 2","Left 4 Dead 2 Beta","PAYDAY 2: Ultimate Edition"
"Slovakia","Counter-Strike: Global Offensive","Team Fortress 2","Dota 2","Unturned","PAYDAY 2: Ultimate Edition"
"South Africa","Dota 2","Counter-Strike: Global Offensive","Team Fortress 2","Unturned","Warframe"
"Lithuania","Team Fortress 2","Counter-Strike: Global Offensive","Unturned","Dota 2","PAYDAY 2: Ultimate Edition"
"United States Minor Outlying Islands","Team Fortress 2","Counter-Strike: Global Offensive","Unturned","Dota 2","Garry's Mod"
"Serbia","Dota 2","Team Fortress 2","Counter-Strike: Global Offensive","Unturned","PAYDAY 2: Ultimate Edition"
"Bulgaria","Dota 2","Team Fortress 2","Counter-Strike: Global Offensive","Unturned","Paladins"
"Israel","Team Fortress 2","Counter-Strike: Global Offensive","Dota 2","Unturned","PAYDAY 2: Ultimate Edition"
"Ireland","Team Fortress 2","Counter-Strike: Global Offensive","Dota 2","Unturned","Garry's Mod"
"Algeria","Dota 2","Counter-Strike: Global Offensive","Team Fortress 2","Unturned","PAYDAY 2: Ultimate Edition"
"Latvia","Counter-Strike: Global Offensive","Team Fortress 2","Dota 2","Unturned","Heroes & Generals"
"Croatia","Team Fortress 2","Dota 2","Counter-Strike: Global Offensive","Unturned","PAYDAY 2: Ultimate Edition"
"Estonia","Counter-Strike: Global Offensive","Team Fortress 2","Dota 2","Unturned","PAYDAY 2: Ultimate Edition"
"Albania","Dota 2","Counter-Strike: Global Offensive","Team Fortress 2","Unturned","Robocraft"
"Ecuador","Dota 2","Unturned","Team Fortress 2","","Paladins"
"Pakistan","Dota 2","Counter-Strike: Global Offensive","Team Fortress 2","Unturned","PAYDAY 2: Ultimate Edition"
"United Arab Emirates","Counter-Strike: Global Offensive","Dota 2","Team Fortress 2","Unturned","Warframe"
"Saudi Arabia","Team Fortress 2","Counter-Strike: Global Offensive","Dota 2","Unturned","Garry's Mod"
"Egypt","Dota 2","Unturned","PAYDAY 2: Ultimate Edition","Counter-Strike: Global Offensive","Warframe"
"France, Metropolitan","Counter-Strike: Source","Half-Life 2: Lost Coast","Half-Life 2: Deathmatch","Counter-Strike","Day of Defeat: Source"
"Bosnia and Herzegovina","Team Fortress 2","Counter-Strike: Global Offensive","Dota 2","Unturned","PAYDAY 2: Ultimate Edition"
"Antarctica","Dota 2","Team Fortress 2","Counter-Strike: Global Offensive","Unturned","Garry's Mod"
"Georgia","Dota 2","Team Fortress 2","Counter-Strike: Global Offensive","Unturned","Heroes & Generals"
"Mongolia","Dota 2","SMITE","Counter-Strike: Global Offensive","Team Fortress 2","Tom Clancy's Ghost Recon Phantoms - NA"
"Zimbabwe","Counter-Strike: Global Offensive","Dota 2","Unturned","Team Fortress 2","PAYDAY 2: Ultimate Edition"
"Myanmar","Dota 2","Counter-Strike: Global Offensive","Neverwinter","War Thunder","True Sight"
"Iran","Dota 2","Counter-Strike: Global Offensive","Unturned","Team Fortress 2","Warface: Blackout"
"American Samoa","Dota 2","Counter-Strike: Global Offensive","Unturned","Team Fortress 2","Warframe"
"Uruguay","Dota 2","Unturned","Counter-Strike: Global Offensive","Team Fortress 2","PAYDAY 2: Ultimate Edition"
"Azerbaijan","Dota 2","Counter-Strike: Global Offensive","Unturned","Team Fortress 2","War Thunder"
"Bolivia","Dota 2","Counter-Strike: Global Offensive","Unturned","Paladins",""
