"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","44.15%","17:33","35.17%","271:09","157.96‱"
"2","Dota 2","15.97%","22:43","37.61%","400:19","166.75‱"
"3","Unturned","4.89%","05:18","25.46%","25:13","127.08‱"
"4","Grand Theft Auto V","4.87%","08:13","7.36%","111:45","33.35‱"
"5","Rocket League","4.44%","11:27","3.71%","67:52","16.75‱"
"6","Brawlhalla","4.44%","03:20","10.66%","10:51","50.56‱"
"7","Team Fortress 2","3.84%","07:22","29.4%","76:57","130.36‱"
"8","Paladins","3.07%","02:44","1.06%","02:44","6.18‱"
"9","H1Z1: King of the Kill","3%","07:22","3.59%","46:08","23.01‱"
"10","Euro Truck Simulator 2","2.92%","08:07","4.76%","126:08","22‱"
"11","Garry's Mod","2.49%","06:11","8.34%","50:49","39.58‱"
"12","Left 4 Dead 2","2.21%","03:39","17.34%","33:31","83.59‱"
"13","Warframe","2.04%","13:00","9.78%","75:34","63.31‱"
"14","Tom Clancy's Rainbow Six Siege","1.93%","17:30","1.41%","121:57","6.26‱"
"15","The Elder Scrolls V: Skyrim","1.69%","06:59","6.34%","76:42","30.65‱"
"16","Counter-Strike","1.56%","10:35","11.24%","338:47","56.22‱"
"17","Terraria","1.56%","04:58","5.61%","69:04","25.88‱"
"18","AdVenture Capitalist","1.42%","02:34","6.54%","22:53","33.38‱"
"19","Tropico 4","1.39%","03:51","1.24%","08:35","10.48‱"
"20","Tree of Savior (English Ver.)","1.39%","17:04","6.64%","68:16","34.27‱"
"21","Trove","1.39%","04:41","10.07%","20:51","52.08‱"
"22","War Thunder","1.29%","08:31","5.07%","52:55","36.97‱"
"23","ARK: Survival Evolved","1.29%","21:20","2.42%","136:58","11.12‱"
"24","Rust","1.27%","15:12","3.94%","111:38","17.67‱"
"25","Path of Exile","1.24%","16:19","7.35%","35:15","45.87‱"
"26","PAYDAY 2","1.24%","05:53","6.8%","45:37","32.11‱"
"27","SMITE","1.2%","05:57","0.54%","09:19","3.71‱"
"28","Ghost in the Shell: Stand Alone Complex - First Assault Online","1.16%","03:34","1.83%","03:54","10.71‱"
"29","Arma 3","1.09%","15:53","1.67%","253:20","7.5‱"
"30","Counter-Strike: Source","0.99%","03:20","6.46%","207:45","36.83‱"
"31","Don't Starve Together Beta","0.97%","04:34","3.71%","22:11","20.94‱"
"32","Insurgency","0.97%","04:08","3.1%","23:12","15.51‱"
"33","Robocraft","0.97%","04:19","9.61%","16:55","53.37‱"
"34","Borderlands 2","0.9%","04:33","4.01%","48:05","19.99‱"
"35","The Witcher 3: Wild Hunt","0.86%","09:53","1.55%","78:21","7.41‱"
"36","TERA","0.84%","12:51","5.64%","27:19","39.99‱"
"37","Evolve","0.82%","02:02","3.57%","07:08","27.29‱"
"38","Heroes & Generals","0.81%","03:11","8.3%","09:48","48.37‱"
"39","Call of Duty: Black Ops III","0.81%","06:57","1.07%","72:58","4.88‱"
"40","Sid Meier's Civilization V","0.81%","07:56","3.13%","99:37","15.4‱"
"41","Clicker Heroes","0.79%","07:23","4.2%","46:40","22.95‱"
"42","Call of Duty: Black Ops II - Multiplayer","0.77%","05:29","2.38%","142:17","11.06‱"
"43","Spore","0.71%","05:38","1.82%","13:38","9.39‱"
"44","Transformice","0.69%","05:32","4.7%","14:21","24.73‱"
"45","Creativerse","0.64%","02:29","4.63%","09:45","23.18‱"
"46","Age of Empires II: HD Edition","0.64%","05:45","3.73%","33:08","18.21‱"
"47","Cities: Skylines","0.62%","05:50","1.26%","28:11","5.95‱"
"48","Dirty Bomb","0.62%","07:00","5.74%","07:19","36.83‱"
"49","BioShock Remastered","0.6%","01:52","0.21%","01:52","16.86‱"
"50","APB Reloaded","0.6%","10:18","0.53%","26:30","3.82‱"
