"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","29.65%","15:01","33.14%","254:19","87.15‱"
"2","Dota 2","13.32%","21:31","35.53%","297:14","90.66‱"
"3","Garry's Mod","7.55%","08:41","22.85%","112:13","63.19‱"
"4","Team Fortress 2","7.2%","09:12","42.96%","119:59","109.63‱"
"5","Rocket League","6.08%","08:20","6.46%","54:59","17.28‱"
"6","Sid Meier's Civilization V","4.82%","11:43","16.95%","156:32","45.76‱"
"7","Grand Theft Auto V","4.38%","06:46","7.56%","83:07","19.54‱"
"8","Stardew Valley","4.38%","23:09","2.44%","34:48","6.41‱"
"9","Fallout 4","4.19%","11:21","6.98%","85:49","18.11‱"
"10","Unturned","3.85%","08:01","19.2%","18:53","61.33‱"
"11","The Elder Scrolls V: Skyrim","3.58%","07:36","19.17%","114:39","51.38‱"
"12","Terraria","3.39%","07:52","18.04%","80:54","48.97‱"
"13","PAYDAY 2","3.07%","05:00","12.69%","52:52","35.86‱"
"14","Tom Clancy's The Division","3.03%","32:44","1.28%","47:00","3.4‱"
"15","Warframe","2.86%","16:59","10.72%","74:09","38.49‱"
"16","Left 4 Dead 2","2.62%","02:40","22.36%","38:51","65.32‱"
"17","SMITE","2.59%","13:41","4.45%","28:34","14.45‱"
"18","Rust","2.57%","16:06","8.17%","84:29","21.66‱"
"19","ARK: Survival Evolved","2.54%","17:11","6.06%","84:02","16.38‱"
"20","Borderlands 2","2.39%","06:27","15.26%","61:15","42.32‱"
"21","Path of Exile","2.11%","27:37","8.37%","60:20","28.38‱"
"22","H1Z1: King of the Kill","1.92%","10:29","1.59%","12:56","13.9‱"
"23","Arma 3","1.88%","21:07","4.59%","131:11","12.02‱"
"24","Undertale","1.74%","03:41","4.08%","13:04","11.38‱"
"25","War Thunder","1.68%","12:22","7.68%","56:51","28.93‱"
"26","The Culling","1.58%","09:27","0.88%","11:30","2.39‱"
"27","Brawlhalla","1.53%","02:38","3.98%","08:00","11.12‱"
"28","Insurgency","1.51%","03:20","5.64%","17:46","18.35‱"
"29","Call of Duty: Black Ops III","1.51%","08:20","1.62%","65:17","4.23‱"
"30","Cities: Skylines","1.47%","04:44","4.82%","27:23","12.94‱"
"31","Mount & Blade: Warband","1.45%","09:50","4.68%","95:15","13.26‱"
"32","Counter-Strike: Source","1.45%","02:58","16.97%","101:07","54.42‱"
"33","AdVenture Capitalist","1.4%","05:41","4.3%","44:21","13.68‱"
"34","Clicker Heroes","1.31%","22:18","4.28%","137:59","13.77‱"
"35","Don't Starve Together Beta","1.31%","05:01","6.43%","18:52","25.7‱"
"36","Dark Souls: Prepare to Die Edition","1.17%","07:15","5.68%","39:49","16.91‱"
"37","Robocraft","1.1%","04:14","8.77%","21:44","30.26‱"
"38","Subnautica","1.1%","05:32","1.4%","10:16","3.76‱"
"39","Europa Universalis IV","1.05%","13:04","1.85%","192:42","5.28‱"
"40","DayZ","1.01%","09:21","7.8%","65:46","20.23‱"
"41","Heroes & Generals","0.99%","10:52","8.33%","16:09","30.15‱"
"42","Age of Empires II: HD Edition","0.98%","05:45","6.36%","31:39","18.41‱"
"43","XCOM 2","0.98%","10:25","1.49%","43:43","3.87‱"
"44","Chivalry: Medieval Warfare","0.96%","03:38","8.69%","25:59","24.82‱"
"45","ARK: Survival Of The Fittest","0.96%","01:33","0.4%","01:33","2.12‱"
"46","Factorio","0.94%","13:07","0.57%","20:35","1.62‱"
"47","Trove","0.94%","06:50","6.24%","24:55","19.14‱"
"48","Fallout: New Vegas","0.92%","06:27","10.87%","55:56","32.12‱"
"49","Tom Clancy's Rainbow Six Siege","0.92%","10:47","1.07%","66:50","2.78‱"
