"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Dota 2","46.87%","26:15","63.26%","607:06","585.36‱"
"2","Counter-Strike: Global Offensive","18.56%","12:23","19.87%","117:10","189.14‱"
"3","Grand Theft Auto V","13.61%","13:19","15.1%","119:08","143.64‱"
"4","Left 4 Dead 2","8.52%","06:24","11.89%","33:47","124.43‱"
"5","Don't Starve Together Beta","4.99%","08:38","6.32%","22:43","65.15‱"
"6","Unturned","2.9%","05:28","9.22%","21:40","101.15‱"
"7","Rise of the Tomb Raider™","2.37%","06:20","1.65%","17:56","15.79‱"
"8","Don't Starve","2.31%","08:33","4.12%","20:19","43.4‱"
"9","The Binding of Isaac: Rebirth","2.1%","08:49","1.75%","73:13","16.67‱"
"10","Team Fortress 2","2.05%","03:30","10.94%","36:45","101.24‱"
"11","Orcs Must Die! 2","2.03%","03:25","1.45%","05:56","20.61‱"
"12","Tom Clancy's Rainbow Six Siege","1.88%","16:09","1.04%","52:45","9.98‱"
"13","Garry's Mod","1.85%","05:55","4.01%","35:20","39.68‱"
"14","Lost Castle","1.83%","09:38","0.8%","10:48","7.66‱"
"15","PAYDAY 2","1.68%","09:40","3.91%","41:32","39.38‱"
"16","H1Z1","1.67%","06:17","2.55%","73:14","24.28‱"
"17","H1Z1: King of the Kill","1.67%","21:13","0.7%","21:19","25.03‱"
"18","Sid Meier's Civilization V","1.64%","09:09","2.83%","34:21","29.88‱"
"19","HELLDIVERS","1.4%","06:32","1.35%","17:47","12.82‱"
"20","Rust","1.33%","18:16","2.07%","64:20","19.99‱"
"21","NEKOPARA Vol. 2","1.32%","03:13","0.55%","03:13","7.39‱"
"22","Borderlands 2","1.29%","09:05","2.73%","37:38","28.74‱"
"23","Warframe","1.25%","14:03","5.43%","73:38","78.14‱"
"24","Fallout 4","1.18%","09:00","1.94%","58:11","19.12‱"
"25","NEKOPARA Vol. 1","1.11%","02:30","1.23%","04:51","14.09‱"
"26","Agent Origins: Escape","1.09%","00:09","1%","00:09","9.36‱"
"27","The Witcher 3: Wild Hunt","1.07%","08:20","1.62%","31:46","17.85‱"
"28","BattleBlock Theater","1.06%","02:12","3.28%","11:18","31.9‱"
"29","Terraria","1.03%","10:23","3.17%","33:38","31.5‱"
"30","The Elder Scrolls V: Skyrim","0.97%","07:34","2.53%","35:50","29.18‱"
"31","NEKOPARA Vol. 0","0.93%","02:20","0.99%","02:58","12.56‱"
"32","Portal 2","0.91%","02:17","3.02%","07:50","42.05‱"
"33","Tomb Raider","0.89%","03:46","2.76%","10:01","31.68‱"
"34","Clicker Heroes","0.87%","21:57","1.69%","54:35","20.43‱"
"35","Iron Snout","0.86%","00:49","0.63%","00:52","6.39‱"
"36","Cities: Skylines","0.86%","05:56","0.88%","23:22","9.14‱"
"37","War Thunder","0.85%","05:17","3.44%","50:12","51.85‱"
"38","SEGA Genesis & Mega Drive Classics","0.8%","00:06","0.45%","00:26","21.96‱"
"39","Hurtworld","0.79%","14:42","0.9%","54:06","8.49‱"
"40","ARK: Survival Evolved","0.77%","19:29","1.62%","89:08","15.62‱"
"41","Hell Yeah!","0.72%","01:05","0.35%","01:04","19.21‱"
"42","NBA 2K16","0.72%","10:41","0.47%","107:23","4.46‱"
"43","Euro Truck Simulator 2","0.65%","05:29","1.22%","44:33","12.29‱"
"44","Company of Heroes 2","0.64%","09:49","0.95%","84:30","10.02‱"
"45","Plague Inc: Evolved","0.63%","03:45","0.6%","04:45","5.82‱"
"46","Counter-Strike: Source","0.6%","01:59","2.44%","99:12","48.3‱"
"47","THE KING OF FIGHTERS XIII STEAM EDITION","0.59%","05:49","0.72%","66:43","7.31‱"
"48","Insurgency","0.58%","05:29","1.59%","20:30","17.76‱"
"49","The Forest","0.56%","09:41","0.7%","12:26","6.74‱"
"50","XCOM 2","0.55%","12:18","0.35%","29:23","3.37‱"
