"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","40.83%","14:52","37.19%","276:33","115.87‱"
"2","Rocket League","7.01%","07:43","6.26%","41:48","19.88‱"
"3","Fallout 4","6.72%","16:02","4.91%","55:41","15.34‱"
"4","Dota 2","6.66%","21:41","23.95%","253:06","73.67‱"
"5","Grand Theft Auto V","5.31%","10:40","5.87%","91:54","18.45‱"
"6","Garry's Mod","4.95%","04:07","16.32%","66:46","54.23‱"
"7","Call of Duty: Black Ops III","4.4%","14:03","2.75%","40:29","8.72‱"
"8","Arma 3","4.33%","15:23","8.92%","178:44","27.72‱"
"9","The Elder Scrolls V: Skyrim","4.28%","06:18","18.81%","95:44","60.16‱"
"10","Team Fortress 2","3.96%","11:18","28.61%","77:28","88‱"
"11","DayZ","3.8%","06:41","12.52%","74:32","38.69‱"
"12","ARK: Survival Evolved","3.58%","18:49","6.02%","83:53","18.97‱"
"13","Call of Duty: Black Ops II - Multiplayer","3.41%","03:07","10.27%","120:45","33.06‱"
"14","Counter-Strike: Source","3.38%","04:05","31.43%","209:01","105.67‱"
"15","The Binding of Isaac: Rebirth","3.07%","07:38","3.31%","75:42","10.31‱"
"16","Euro Truck Simulator 2","3.04%","08:58","6.13%","63:37","20.51‱"
"17","Clicker Heroes","2.8%","24:00","6.38%","92:13","24.56‱"
"18","AdVenture Capitalist","2.76%","04:31","5.09%","51:15","19.52‱"
"19","PAYDAY 2","2.61%","08:49","11.29%","57:28","36.9‱"
"20","Unturned","2.56%","03:07","14.02%","13:01","54.67‱"
"21","Sid Meier's Civilization V","2.26%","10:42","9.19%","97:04","29.74‱"
"22","Warframe","2.15%","19:13","7.87%","80:01","33.61‱"
"23","Terraria","2.05%","05:51","11.13%","53:49","35.75‱"
"24","War Thunder","2.01%","07:58","6.93%","55:16","30.62‱"
"25","Borderlands 2","1.95%","06:18","12.31%","58:40","39.67‱"
"26","Just Cause 3","1.81%","10:52","0.97%","17:05","3.13‱"
"27","Call of Duty: Modern Warfare 2 - Multiplayer","1.78%","02:45","15%","176:23","47.54‱"
"28","Left 4 Dead 2","1.78%","03:55","19.69%","32:10","68.16‱"
"29","Rust","1.76%","11:03","5.94%","68:44","18.65‱"
"30","Cities: Skylines","1.71%","04:30","6.09%","29:28","18.99‱"
"31","H1Z1","1.63%","08:18","3.71%","46:14","11.55‱"
"32","Call of Duty: Modern Warfare 3 - Multiplayer","1.56%","04:57","10.76%","148:02","34.82‱"
"33","Age of Empires II: HD Edition","1.49%","04:43","6.23%","23:04","21.14‱"
"34","Space Engineers","1.34%","10:06","3.82%","56:44","12.06‱"
"35","Insurgency","1.34%","03:02","3.48%","13:20","14.25‱"
"36","Devilian","1.25%","11:33","0.54%","11:33","2.24‱"
"37","7 Days to Die","1.24%","15:57","3.22%","60:45","10.19‱"
"38","The Forest","1.23%","04:16","5.73%","17:02","17.86‱"
"39","Path of Exile","1.2%","17:21","5.58%","46:25","23.49‱"
"40","Call of Duty: Black Ops II - Zombies","1.18%","01:50","8.91%","16:03","33.06‱"
"41","Total War: ROME II - Emperor Edition","1.18%","08:04","3.99%","93:30","12.77‱"
"42","Company of Heroes 2","1.18%","07:24","4.63%","57:44","16.11‱"
"43","Portal 2","1.15%","01:56","11.2%","14:52","39.46‱"
"44","SMITE","1.13%","08:39","1.97%","19:56","9.02‱"
"45","Brawlhalla","1.12%","04:04","1.24%","06:11","4.5‱"
"46","Killing Floor 2","1.12%","06:49","1.31%","25:05","4.19‱"
"47","Arma 2: Operation Arrowhead","1.11%","06:15","9.31%","46:24","31.95‱"
"48","Counter-Strike","1.07%","03:27","16.6%","116:50","65.55‱"
"49","Heroes & Generals","1.06%","05:26","7.53%","20:54","31.43‱"
"50","Just Cause 2","1.01%","03:02","6.49%","15:12","24.53‱"
