"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","32.3%","15:46","26.77%","211:11","113.05‱"
"2","Garry's Mod","7.21%","10:51","15.4%","103:32","68.07‱"
"3","Rocket League","5.89%","08:03","3.61%","30:32","15.43‱"
"4","Team Fortress 2","4.99%","07:17","34.55%","79:30","144.14‱"
"5","Dota 2","4.64%","20:03","19.45%","161:31","81.14‱"
"6","The Elder Scrolls V: Skyrim","4.09%","06:27","14.38%","110:03","61.85‱"
"7","Arma 3","3.76%","14:41","6.7%","189:34","28.26‱"
"8","Unturned","3.47%","05:38","15.5%","15:59","76.01‱"
"9","ARK: Survival Evolved","3.26%","16:38","4.54%","71:46","19.38‱"
"10","Counter-Strike: Source","3.24%","07:25","26.08%","274:00","117.67‱"
"11","The Binding of Isaac: Rebirth","3.05%","08:52","2.29%","76:10","9.75‱"
"12","Rust","2.92%","15:06","5.42%","80:40","22.73‱"
"13","Clicker Heroes","2.88%","15:52","4.33%","78:50","22.04‱"
"14","Warframe","2.82%","12:42","8.02%","65:12","45.16‱"
"15","PAYDAY 2","2.57%","05:53","9.89%","53:27","43.53‱"
"16","METAL GEAR SOLID V: THE PHANTOM PAIN","2.53%","15:22","1.48%","50:31","6.76‱"
"17","DayZ","2.51%","10:08","7.56%","83:03","31.88‱"
"18","Grand Theft Auto V","2.36%","08:25","3.12%","80:49","13.1‱"
"19","AdVenture Capitalist","2.34%","09:38","2.72%","38:50","14.82‱"
"20","Trove","2.28%","06:58","6.03%","23:45","29.46‱"
"21","Sid Meier's Civilization V","2.21%","09:46","6.97%","122:11","30.28‱"
"22","Left 4 Dead 2","2.09%","02:40","17.71%","45:12","80.24‱"
"23","Robocraft","1.96%","03:32","10.9%","17:28","55.73‱"
"24","H1Z1","1.94%","07:38","3.18%","57:22","13.31‱"
"25","SpeedRunners","1.94%","02:47","2.45%","08:56","87.45‱"
"26","Borderlands 2","1.92%","07:33","9.21%","55:53","40.75‱"
"27","Block N Load Beta","1.88%","04:07","0.75%","04:03","4.65‱"
"28","Euro Truck Simulator 2","1.82%","06:56","3.39%","54:27","15.52‱"
"29","BLOCKADE 3D","1.75%","02:21","6.72%","08:38","32.84‱"
"30","Prison Architect","1.71%","07:03","2.09%","23:52","9.66‱"
"31","War Thunder","1.65%","07:19","6.03%","42:16","35.98‱"
"32","Cities: Skylines","1.52%","07:59","2.16%","28:55","9.3‱"
"33","SMITE","1.48%","07:29","1.22%","07:19","7.58‱"
"34","Call of Duty: Black Ops II - Multiplayer","1.48%","03:56","4.77%","124:23","20.98‱"
"35","Total War: ROME II - Emperor Edition","1.4%","11:05","3.16%","109:22","14.1‱"
"36","Mad Max","1.32%","07:15","0.95%","23:02","4.14‱"
"37","Aftermath","1.25%","01:51","0.67%","01:58","4.68‱"
"38","Heroes & Generals","1.25%","05:28","6.84%","14:25","38.94‱"
"39","The Witcher 3: Wild Hunt","1.23%","06:08","1.28%","68:23","5.55‱"
"40","Terraria","1.23%","07:15","6.54%","54:16","29.13‱"
"41","The Forest","1.19%","06:03","3%","12:01","12.71‱"
"42","Counter-Strike","1.19%","10:54","15.09%","129:19","79.66‱"
"43","Football Manager 2015","1.09%","27:12","1.27%","323:32","5.43‱"
"44","Chivalry: Medieval Warfare","1.09%","03:14","6.96%","20:23","30.64‱"
"45","Tomb Raider","1.02%","04:37","5.45%","17:49","27.56‱"
"46","Call of Duty: Modern Warfare 3 - Multiplayer","1.02%","09:18","5.67%","139:37","24.63‱"
"47","Dirty Bomb","0.96%","03:42","3.53%","08:01","21.52‱"
"48","Mount & Blade: Warband","0.94%","07:55","2.81%","118:48","12.8‱"
"49","Project CARS","0.94%","03:50","0.89%","36:03","3.71‱"
"50","Company of Heroes 2","0.9%","05:46","2.24%","63:29","11.14‱"
