"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","25.23%","14:38","32.98%","292:07","67.41‱"
"2","Dota 2","8.89%","20:22","26.74%","309:11","52.95‱"
"3","Rocket League","7.93%","06:41","10.39%","54:22","21.7‱"
"4","Garry's Mod","7.87%","09:32","30.25%","117:17","64.04‱"
"5","Grand Theft Auto V","6.3%","09:38","11.5%","92:26","23.15‱"
"6","The Elder Scrolls V: Skyrim","5.83%","07:29","24.9%","93:24","51.51‱"
"7","Sid Meier's Civilization V","5.65%","09:06","19.66%","117:16","41.05‱"
"8","Team Fortress 2","5.16%","08:48","45.57%","96:29","90.25‱"
"9","No Man's Sky","5.16%","09:58","2.42%","18:07","4.85‱"
"10","Football Manager 2016","4.77%","32:19","4.25%","330:01","8.57‱"
"11","Rust","4.18%","12:35","9.56%","78:02","20.16‱"
"12","Fallout 4","4%","08:59","10.46%","87:03","21.17‱"
"13","Arma 3","3.63%","10:20","8.14%","127:09","16.39‱"
"14","Unturned","3.02%","05:41","18.84%","12:59","44.46‱"
"15","Terraria","2.69%","06:39","18.61%","67:24","38.71‱"
"16","Deus Ex: Mankind Divided","2.18%","15:21","0.88%","15:21","1.85‱"
"17","Mount & Blade: Warband","2.14%","11:02","6.64%","125:08","14.17‱"
"18","Left 4 Dead 2","2.12%","02:46","23.94%","29:13","53.63‱"
"19","Euro Truck Simulator 2","2.08%","05:11","8.25%","52:32","17.87‱"
"20","Total War: WARHAMMER","2.02%","08:11","3.3%","43:31","6.64‱"
"21","War Thunder","1.96%","07:13","10.41%","38:37","27.99‱"
"22","ARK: Survival Evolved","1.96%","12:42","7.25%","93:42","14.97‱"
"23","Warframe","1.94%","12:37","10.84%","72:45","29.3‱"
"24","DayZ","1.94%","04:17","10.85%","71:40","21.65‱"
"25","Cities: Skylines","1.88%","04:21","7.19%","30:10","14.58‱"
"26","PAYDAY 2","1.85%","04:25","13.06%","53:53","28.65‱"
"27","Starbound","1.81%","10:56","5.66%","43:56","11.38‱"
"28","Space Engineers","1.73%","06:50","6.21%","38:13","13.46‱"
"29","The Binding of Isaac: Rebirth","1.67%","03:57","3.74%","88:24","7.65‱"
"30","H1Z1: King of the Kill","1.67%","06:47","2.78%","15:12","11.72‱"
"31","Golf With Friends","1.61%","01:58","1.93%","04:33","4.06‱"
"32","DOOM","1.61%","02:28","2.93%","13:01","6.25‱"
"33","Evolve","1.61%","02:20","4.16%","10:41","10.58‱"
"34","Borderlands 2","1.55%","06:19","14.36%","60:24","30.73‱"
"35","The Witcher 3: Wild Hunt","1.55%","11:05","3.43%","64:11","7.65‱"
"36","Tom Clancy's Rainbow Six Siege","1.47%","13:29","1.69%","69:10","3.41‱"
"37","Heroes & Generals","1.45%","04:14","11.61%","11:46","29.54‱"
"38","Call of Duty: Black Ops III","1.45%","07:34","3.07%","64:16","6.59‱"
"39","SMITE","1.37%","11:59","5.2%","32:09","13.78‱"
"40","Prison Architect","1.32%","03:28","8.3%","27:32","17.68‱"
"41","Elite: Dangerous","1.32%","16:49","3.75%","56:38","7.99‱"
"42","ShellShock Live","1.28%","04:54","1.75%","16:47","3.57‱"
"43","Call of Duty: World at War","1.28%","04:59","4.59%","33:54","9.54‱"
"44","Brawlhalla","1.26%","03:19","3.93%","08:58","8.54‱"
"45","DARK SOULS III","1.24%","08:38","2.53%","66:42","5.16‱"
"46","Crusader Kings II","1.24%","10:17","3.89%","115:14","9.43‱"
"47","Total War: ROME II - Emperor Edition","1.22%","13:06","7.02%","101:10","14.67‱"
"48","AdVenture Capitalist","1.2%","02:00","5.76%","33:23","13.91‱"
"49","Europa Universalis IV","1.14%","09:26","2.57%","205:42","5.52‱"
"50","Counter-Strike: Source","1.14%","04:11","20.02%","88:01","50.63‱"
