"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","67.73%","18:35","49.32%","410:34","212.81‱"
"2","Team Fortress 2","6.49%","07:27","38.21%","92:54","164.07‱"
"3","Counter-Strike","5.45%","09:43","23.7%","566:52","106.08‱"
"4","Unturned","5.15%","03:55","22.08%","17:21","119.25‱"
"5","Euro Truck Simulator 2","4.38%","07:02","6.42%","77:39","29.4‱"
"6","Dota 2","4.31%","14:55","23.25%","173:18","99.85‱"
"7","Garry's Mod","3.62%","04:50","8.79%","55:23","41.02‱"
"8","The Elder Scrolls V: Skyrim","3.59%","07:18","10.64%","103:12","47.92‱"
"9","AdVenture Capitalist","2.52%","02:27","6.21%","25:42","36.33‱"
"10","Left 4 Dead 2","2.36%","02:30","16.14%","32:44","76.99‱"
"11","The Binding of Isaac: Rebirth","2.15%","09:43","1.74%","67:46","7.48‱"
"12","Terraria","2.12%","04:50","6.03%","60:55","27.03‱"
"13","Fallout 4","2.11%","15:49","1.77%","59:51","7.75‱"
"14","Don't Starve Together Beta","1.91%","03:09","4.05%","15:49","23.05‱"
"15","PAYDAY 2","1.84%","06:55","5.46%","54:30","24.81‱"
"16","Rocket League","1.77%","07:20","1.5%","38:06","6.6‱"
"17","Don't Starve","1.72%","04:39","4.29%","22:02","19.73‱"
"18","Sid Meier's Civilization V","1.68%","09:45","6.92%","102:32","31.77‱"
"19","Clicker Heroes","1.68%","15:28","5.74%","51:22","33.87‱"
"20","GRID 2","1.62%","04:24","2.53%","15:08","13.62‱"
"21","War Thunder","1.62%","07:42","6.79%","41:22","47.07‱"
"22","Robocraft","1.59%","06:12","9.81%","17:24","57.31‱"
"23","Mount & Blade: Warband","1.57%","05:54","4.23%","111:42","19.37‱"
"24","Europa Universalis IV","1.52%","13:32","1.64%","134:14","7.24‱"
"25","BLOCKADE 3D","1.41%","02:28","7.98%","11:32","44.73‱"
"26","Warframe","1.38%","14:35","6.54%","50:00","41.9‱"
"27","The Forest","1.38%","04:08","2.11%","18:01","9.18‱"
"28","Trove","1.34%","03:17","8.28%","15:45","46.09‱"
"29","The Binding of Isaac","1.24%","03:09","4.58%","26:52","21.07‱"
"30","Path of Exile","1.22%","18:14","5.93%","34:46","36.3‱"
"31","Grand Theft Auto V","1.18%","13:54","1.42%","86:46","6.29‱"
"32","Rust","1.04%","11:00","2.22%","79:36","9.7‱"
"33","H1Z1","1.02%","06:18","1.69%","54:22","7.45‱"
"34","SMITE","0.95%","08:50","2.68%","09:51","16.97‱"
"35","Counter-Strike: Source","0.94%","04:34","7.29%","245:33","36.91‱"
"36","Heroes & Generals","0.9%","04:39","7.68%","08:23","47.55‱"
"37","Arma 3","0.85%","14:09","1.86%","155:22","8.12‱"
"38","DayZ","0.84%","04:27","2.03%","89:37","8.73‱"
"39","Insurgency","0.83%","03:35","2%","10:20","12.53‱"
"40","Devilian","0.81%","06:30","0.41%","06:32","2.37‱"
"41","Call of Duty: Black Ops III","0.81%","11:02","0.57%","30:34","2.61‱"
"42","Call of Duty: Modern Warfare 3 - Multiplayer","0.75%","04:37","4.31%","136:42","19.31‱"
"43","Tom Clancy's Ghost Recon Phantoms - EU","0.74%","04:30","7.49%","24:09","49.93‱"
"44","Brawlhalla","0.74%","02:25","1.1%","05:02","6.29‱"
"45","Borderlands 2","0.74%","04:36","4.53%","50:54","21.92‱"
"46","Fallout: New Vegas","0.74%","08:18","3.72%","52:07","17.6‱"
"47","Dirty Bomb","0.71%","04:13","4.08%","07:35","27.24‱"
"48","Tomb Raider","0.7%","03:45","3.6%","17:47","17.82‱"
"49","Counter-Strike Nexon: Zombies","0.7%","04:46","6.8%","11:16","49.68‱"
"50","Portal 2","0.7%","03:04","5.64%","14:38","27.67‱"
