"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","62.7%","22:06","49.34%","433:29","221.75‱"
"2","Rocket League","13.6%","09:23","9.31%","75:49","41.57‱"
"3","Unturned","5.23%","06:18","22.95%","23:27","116.07‱"
"4","Brawlhalla","4.86%","01:51","14.61%","10:45","68.27‱"
"5","Team Fortress 2","4.68%","08:25","36.56%","96:20","163.23‱"
"6","Dota 2","4.32%","20:58","21.66%","145:28","96.72‱"
"7","Paladins","3.51%","03:15","1.4%","03:15","7.99‱"
"8","Football Manager 2016","3.51%","20:36","2.58%","266:43","11.51‱"
"9","Garry's Mod","3.33%","04:21","13.64%","58:54","64.43‱"
"10","Grand Theft Auto V","2.88%","11:19","4.12%","105:38","18.39‱"
"11","Warframe","2.88%","13:59","10.96%","76:06","67.47‱"
"12","Counter-Strike","2.43%","07:09","20.09%","409:37","99.76‱"
"13","Euro Truck Simulator 2","2.16%","06:40","4.26%","53:49","19.82‱"
"14","SMITE","2.07%","15:20","7.45%","32:06","41.89‱"
"15","Rust","1.98%","15:14","4.94%","110:10","22.7‱"
"16","Left 4 Dead 2","1.62%","02:50","15.36%","33:28","74.18‱"
"17","H1Z1: King of the Kill","1.62%","06:47","2.36%","24:28","18.39‱"
"18","PAYDAY 2","1.53%","08:39","7.63%","44:29","35.81‱"
"19","Tropico 4","1.53%","04:13","1.58%","18:44","13.27‱"
"20","The Elder Scrolls V: Skyrim","1.44%","03:56","5.51%","81:10","25.26‱"
"21","ARK: Survival Evolved","1.35%","27:33","2.69%","147:13","12.79‱"
"22","Counter-Strike: Source","1.35%","03:02","14.93%","266:18","73.06‱"
"23","TrackMania Nations Forever","1.26%","03:05","7.81%","09:34","41.73‱"
"24","Warface","1.17%","04:56","11.71%","13:00","66.67‱"
"25","Terraria","1.08%","03:16","4.83%","56:21","22.38‱"
"26","Pro Evolution Soccer 2016 myClub","1.08%","04:06","4.94%","12:38","30.7‱"
"27","War Thunder","0.99%","03:36","6.27%","26:00","42.53‱"
"28","Trove","0.99%","04:58","9.09%","18:07","47.32‱"
"29","Mount & Blade: Warband","0.99%","22:10","1.83%","130:48","8.15‱"
"30","Heroes & Generals","0.9%","04:33","8.23%","09:10","47.32‱"
"31","Farming Simulator 15","0.9%","10:21","0.72%","151:31","3.2‱"
"32","Sid Meier's Civilization V","0.9%","08:18","3.62%","101:40","19.5‱"
"33","Path of Exile","0.9%","16:23","5.62%","41:31","34.53‱"
"34","Dirty Bomb","0.9%","00:38","7.23%","10:27","45.4‱"
"35","Counter-Strike Nexon: Zombies","0.81%","02:53","8.59%","21:26","53.24‱"
"36","Call of Duty: Black Ops II - Multiplayer","0.81%","00:27","2.51%","90:24","11.35‱"
"37","Cities: Skylines","0.81%","02:31","1.22%","37:05","5.6‱"
"38","Pro Evolution Soccer 2016","0.72%","06:14","0.61%","123:21","2.72‱"
"39","H1Z1","0.72%","12:39","3.69%","54:15","16.79‱"
"40","Borderlands 2","0.72%","01:58","3.37%","47:47","16.15‱"
"41","DayZ","0.72%","10:18","3.26%","88:34","14.55‱"
"42","Evolve","0.72%","08:47","3.47%","05:29","20.62‱"
"43","Worm.is: The Game","0.63%","00:33","1.75%","02:12","7.83‱"
"44","Insurgency","0.63%","01:13","3.08%","12:59","16.15‱"
"45","AdVenture Capitalist","0.63%","01:51","4.73%","47:38","26.7‱"
"46","S.K.I.L.L. - Special Force 2","0.63%","02:49","5.37%","11:12","32.29‱"
"47","Aftermath","0.54%","01:21","3.15%","05:07","17.91‱"
"48","No More Room in Hell","0.54%","02:53","6.41%","07:38","38.85‱"
"49","Soccer Manager 2017","0.54%","00:33","0.21%","00:33","1.28‱"
"50","Medieval II: Total War","0.54%","03:33","1.15%","53:34","7.03‱"
