"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","40.92%","13:11","36.88%","356:32","157.35‱"
"2","Dota 2","35.67%","20:34","63.89%","511:01","270.57‱"
"3","Grand Theft Auto V","6.4%","08:13","7.72%","149:01","33.17‱"
"4","Fallout Shelter","3.89%","05:18","3.06%","09:06","17.94‱"
"5","Paladins","3.35%","06:13","7.4%","16:12","35.94‱"
"6","Garry's Mod","3.33%","10:03","11.34%","77:24","49.95‱"
"7","Counter-Strike","3.26%","09:31","14.17%","276:48","77.51‱"
"8","PLAYERUNKNOWN'S BATTLEGROUNDS","2.97%","16:58","1.05%","32:28","4.53‱"
"9","Team Fortress 2","2.84%","06:59","26.36%","62:06","111.64‱"
"10","Rust","2.81%","11:01","7.72%","127:32","33.12‱"
"11","Unturned","2.48%","06:03","19.09%","23:22","102.05‱"
"12","PAYDAY 2","2.33%","07:17","11.33%","56:00","50.57‱"
"13","Rocket League","2.22%","06:09","2.83%","52:59","12.58‱"
"14","War Thunder","2.19%","07:49","9.46%","46:34","61.66‱"
"15","Terraria","2.05%","06:42","6.53%","62:41","28.33‱"
"16","Warframe","2.04%","12:37","10.51%","82:29","66.66‱"
"17","Counter-Strike: Source","2.01%","07:19","14.03%","196:40","80.45‱"
"18","Last Man Standing","1.99%","03:46","1.03%","04:24","6.14‱"
"19","Euro Truck Simulator 2","1.7%","06:22","3.7%","81:12","16.13‱"
"20","Left 4 Dead 2","1.65%","03:14","14.24%","36:48","65.9‱"
"21","The Elder Scrolls V: Skyrim","1.46%","08:42","7.26%","105:36","32.26‱"
"22","Alien Swarm: Reactive Drop","1.37%","02:15","0.49%","02:31","2.64‱"
"23","Wallpaper Engine","1.32%","02:51","0.57%","06:04","2.45‱"
"24","World of Tanks Blitz","1.28%","08:51","2.66%","23:05","14.61‱"
"25","Heroes & Generals","1.25%","06:39","11.67%","14:16","68.71‱"
"26","Don't Starve Together","1.22%","05:07","4.14%","26:21","20.54‱"
"27","Arma 3","1.21%","16:27","1.87%","221:59","8.03‱"
"28","Tom Clancy's Rainbow Six Siege","1.16%","13:02","1.22%","108:54","5.26‱"
"29","Dead by Daylight","1.11%","08:42","1.74%","65:10","7.53‱"
"30","The Witcher 3: Wild Hunt","1.06%","10:24","2.67%","118:48","12.24‱"
"31","Sid Meier's Civilization V","0.84%","08:21","4.84%","91:34","21.8‱"
"32","Path of Exile","0.83%","19:33","2.72%","40:10","19.44‱"
"33","SMITE","0.8%","12:03","4.42%","34:16","24.66‱"
"34","DayZ","0.78%","10:43","3.31%","110:12","14.02‱"
"35","Robocraft","0.75%","03:46","7.51%","17:42","47.22‱"
"36","Insurgency","0.74%","04:41","3.43%","14:58","15.82‱"
"37","The Forest","0.67%","04:09","2.83%","17:37","12.21‱"
"38","Fallout 4","0.63%","09:18","1.82%","111:35","8.03‱"
"39","DARK SOULS III","0.63%","07:13","0.89%","107:50","3.82‱"
"40","7 Days to Die","0.62%","08:13","2%","56:36","8.71‱"
"41","The Elder Scrolls Online: Tamriel Unlimited","0.62%","19:52","0.95%","69:59","4.29‱"
"42","ARK: Survival Evolved","0.61%","22:25","2.62%","92:09","12.17‱"
"43","SPINTIRES","0.61%","03:11","1.09%","38:21","4.71‱"
"44","Outlast 2","0.6%","07:30","0.19%","07:30","0.89‱"
"45","H1Z1: King of the Kill","0.59%","03:43","0.84%","39:27","5.31‱"
"46","Tom Clancys The Division","0.59%","05:53","1.04%","87:40","5.08‱"
"47","Arma 2: Operation Arrowhead","0.59%","08:59","3.66%","82:19","17.09‱"
"48","The Binding of Isaac: Rebirth","0.59%","06:32","0.88%","107:41","3.92‱"
"49","Borderlands 2 RU","0.58%","04:50","4.09%","50:33","19.31‱"
"50","Warhammer 40,000: Dawn of War III","0.57%","11:34","0.18%","11:34","0.8‱"
