"#","Game","Players (2 weeks)","Hours (2 weeks)","Players (total)","Hours (total)","Share"
"1","Counter-Strike: Global Offensive","23.75%","14:47","29.01%","218:16","71.39‱"
"2","Garry's Mod","8.94%","08:47","27.12%","121:50","69.15‱"
"3","Team Fortress 2","8.29%","09:52","48.22%","129:05","114.26‱"
"4","Dota 2","7.61%","21:28","27.15%","248:11","64.34‱"
"5","Fallout 4","6.74%","10:37","9.74%","84:54","23.59‱"
"6","Rocket League","6.49%","08:13","7.25%","49:56","18.4‱"
"7","The Elder Scrolls V: Skyrim","5.55%","08:35","23.24%","111:54","57.81‱"
"8","Stardew Valley","5.03%","18:54","2.79%","33:18","6.77‱"
"9","Sid Meier's Civilization V","4.68%","12:30","18.29%","139:08","45.82‱"
"10","Grand Theft Auto V","4.5%","08:16","7.75%","82:25","18.77‱"
"11","Tom Clancy's The Division","4.5%","26:04","2.04%","46:20","4.92‱"
"12","Unturned","4.1%","05:22","20.49%","19:20","57.43‱"
"13","Terraria","3.93%","08:37","19.91%","80:27","50.06‱"
"14","Warframe","3.34%","16:45","12.19%","82:42","38.33‱"
"15","Left 4 Dead 2","2.91%","04:09","23.85%","45:38","64.66‱"
"16","ARK: Survival Evolved","2.77%","17:23","6.97%","92:24","17.36‱"
"17","Borderlands 2","2.72%","07:30","16.88%","62:42","43.45‱"
"18","PAYDAY 2","2.7%","05:52","11.76%","52:13","31.21‱"
"19","War Thunder","2.3%","09:52","8.43%","55:29","28.01‱"
"20","SMITE","2.22%","12:42","4.31%","28:44","13.69‱"
"21","Undertale","2.12%","03:29","5.76%","13:39","14.99‱"
"22","Arma 3","2.11%","14:36","5.03%","137:12","12.15‱"
"23","Brawlhalla","1.98%","03:32","4.12%","08:30","11.03‱"
"24","Rust","1.93%","16:14","7.79%","76:22","19.16‱"
"25","Call of Duty: Black Ops III","1.85%","09:13","2%","53:55","4.84‱"
"26","The Culling","1.79%","07:14","1.06%","11:19","2.64‱"
"27","H1Z1: King of the Kill","1.73%","09:12","1.5%","14:36","13.96‱"
"28","Dark Souls: Prepare to Die Edition","1.66%","06:43","6.91%","42:58","18.79‱"
"29","AdVenture Capitalist","1.6%","08:46","4.75%","50:45","13.77‱"
"30","Mount & Blade: Warband","1.46%","08:02","4.89%","108:20","13.26‱"
"31","Counter-Strike: Source","1.46%","03:36","17.36%","99:43","52.81‱"
"32","Insurgency","1.45%","02:47","5.73%","21:19","16.67‱"
"33","Path of Exile","1.38%","25:30","7.96%","49:09","25.12‱"
"34","XCOM 2","1.35%","10:06","2.04%","40:55","4.99‱"
"35","Cities: Skylines","1.3%","04:43","4.64%","26:37","11.44‱"
"36","Don't Starve Together Beta","1.3%","05:13","6.77%","17:12","26‱"
"37","Tom Clancy's Rainbow Six Siege","1.3%","08:22","1.32%","49:09","3.15‱"
"38","ARK: Survival Of The Fittest","1.29%","02:06","0.56%","02:03","2.62‱"
"39","Fallout: New Vegas","1.26%","05:59","13.96%","60:29","37.94‱"
"40","Portal 2","1.25%","02:38","17.58%","18:04","48.61‱"
"41","Subnautica","1.23%","05:04","1.75%","13:27","4.34‱"
"42","Robocraft","1.21%","05:57","9.18%","21:06","28.3‱"
"43","Call of Duty: World at War","1.2%","05:11","3.96%","39:30","10.14‱"
"44","Clicker Heroes","1.2%","17:52","4.19%","125:06","12.25‱"
"45","Heroes & Generals","1.16%","05:55","8.62%","13:33","27.14‱"
"46","DayZ","1.15%","08:31","8.19%","67:49","19.67‱"
"47","Who's Your Daddy","1.14%","01:01","1.14%","02:10","2.83‱"
"48","Trove","1.06%","08:24","6.61%","24:16","18.72‱"
