game, hours
ARMA 3,19.5
Assassin's Creed: Revelations,12.5
BioShock Infinite,11½
Borderlands 2,30½
Call of Duty: World at War,8
Chivalry: Medieval Warfare,37
Counter-Strike,126
Counter-Strike: Condition Zero,4½
Counter-Strike: Global Offensive,91½
Counter-Strike: Source,108
Dark Souls: Prepare to Die Edition,49
DayZ,63½
Don't Starve,35½
Dota 2,1027
Euro Truck Simulator 2,47½
Fallout: New Vegas,28
FTL: Faster Than Light,11
Garry's Mod,63
Grand Theft Auto IV,28
Grand Theft Auto V,31
Killing Floor,18½
Left 4 Dead 2,8½
Mount & Blade: Warband,58
Napoleon: Total War,31
Path of Exile,533
PlanetSide 2,2000
Portal 2,8½
Sid Meier's Civilization V,34
Spiral Knights,300
Star Wars Battlefront II,--
Starbound,19
Team Fortress 2,73½
Terraria,42
Test Drive Unlimited 2,29½
The Binding of Isaac: Rebirth,4
The Elder Scrolls V: Skyrim,32
The Witcher 3: Wild Hunt,47½
TrackMania Nations Forever,7
Warframe,448
Smite,7½
Kerbal Space Program,129
Payday 2,19½
Saints Row IV,15
Europa Universalis IV,90½
Outlast,5
Pillars of Eternity,36
7 Days to Die,30
No More Room in Hell,3
War Thunder,120
Football Manager 2014,257
Rust,120
Space Engineers,17½
Factorio,42
The Elder Scrolls Online: Tamriel Unlimited,45
Dead Island: Epidemic,22
Tabletop Simulator,--
Middle-Earth: Shadow of Mordor,15½
The Forest,13½
Warface,17½
Aura Kingdom,50
Unturned,37
Robocraft,--
Project CARS,31½
Borderlands: The Pre-Sequel,17½
Dragon Ball Xenoverse,16½
Dying Light,16½
Tom Clancy's Rainbow Six Siege,3
Counter-Strike Nexon: Zombies,--
Cuphead,8½
Football Manager 2015,176
Brawlhalla,--
ArcheAge,49
Trove,--
Subnautica,18
Don't Starve Together,36½
Besiege,4½
Don't Starve Together Beta,--
Cities: Skylines,24½
AdVenture Capitalist,37
Heroes & Generals,--
Reign of Kings,--
ARK: Survival Evolved,53
Fallout Shelter,10
Fallout 4,26
Dark Souls III,31½
Rocket League,4
Call of Duty: Black Ops II - Multiplayer,93
Call of Duty: Black Ops II - Zombies,--
Call of Duty: Ghosts - Multiplayer,--
Call of Duty: Modern Warfare 2 - Multiplayer,161
Football Manager 2016,151
Paladins,67½
H1Z1,20
Stardew Valley,49½
Stellaris,21½
Golf With Your Friends,--
Football Manager 2017,229
Gigantic,--
Alien Swarm: Reactive Drop,8½
Last Man Standing,--
Insurgency,--
Black Squad,--
